Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Random392	0.554244	0.537804	0.193913	0.741346
Random393	0.487216	0.4665	0.187024	0.77012
Random394	0.516149	0.49788	0.212239	0.684926
Random395	0.460215	0.441838	0.210173	0.744745
Random396	0.450604	0.435826	0.199701	0.780574
Random397	0.499445	0.472524	0.209096	0.735653
Random398	0.386268	0.365642	0.17633	0.754627
Random399	0.476183	0.454976	0.178143	0.766315
Random400	0.420581	0.400568	0.159105	0.758557
Random401	0.52459	0.514999	0.220096	0.745824
Random402	0.408769	0.388028	0.153614	0.717483
Random403	0.450294	0.429791	0.205791	0.765205
Random404	0.476933	0.463928	0.194568	0.760574
Random405	0.447765	0.426322	0.207601	0.691252
Random406	0.370829	0.348052	0.161955	0.737276
Random407	0.417986	0.393483	0.161272	0.731981
Random408	0.490155	0.471417	0.200555	0.727806
Random409	0.387686	0.364862	0.184014	0.692352
Random410	0.374542	0.358422	0.130546	0.764913
Random411	0.47406	0.457681	0.218884	0.741712
Random412	0.487404	0.474186	0.160552	0.746548
Random413	0.394515	0.368721	0.211561	0.720688
Random414	0.458974	0.440281	0.18593	0.759768
Random415	0.423949	0.399627	0.163081	0.73577
Random416	0.490628	0.459561	0.224694	0.757606
Random417	0.442092	0.425905	0.150202	0.704188
Random418	0.46257	0.446514	0.171375	0.766181
Random419	0.407572	0.392599	0.16807	0.712744
Random420	0.461029	0.433579	0.191488	0.646634
Random421	0.443716	0.422865	0.195483	0.715662
Random422	0.398373	0.373916	0.179927	0.737644
Random423	0.452097	0.437963	0.155506	0.713826
Random424	0.430474	0.407439	0.205142	0.725144
Random425	0.490657	0.469257	0.216197	0.765643
Random426	0.436645	0.414489	0.184889	0.75497
Random427	0.389904	0.356636	0.173447	0.70848
Random428	0.405796	0.386313	0.15152	0.750754
Random429	0.38649	0.361579	0.173293	0.758179
Random430	0.364795	0.337845	0.158755	0.725051
Random431	0.508369	0.486448	0.223397	0.750888
Random432	0.504289	0.49317	0.19171	0.720091
Random433	0.442432	0.419177	0.189288	0.736827
Random434	0.452576	0.430066	0.183196	0.73922
Random435	0.516961	0.498406	0.181179	0.714526
Random436	0.434211	0.42066	0.159188	0.766741
Random437	0.42378	0.407086	0.1597	0.732155
Random438	0.450989	0.426584	0.186284	0.729845
Random439	0.439403	0.424757	0.136952	0.778938
Random440	0.480272	0.459127	0.214023	0.73842
Random441	0.481381	0.460704	0.193382	0.764726
Random442	0.437294	0.409062	0.212174	0.728678
Random443	0.487042	0.471456	0.163809	0.740301
Random444	0.462068	0.444217	0.163439	0.715463
Random445	0.415672	0.397615	0.174092	0.768404
Random446	0.45415	0.434674	0.187953	0.753113
Random447	0.408394	0.392955	0.175991	0.684369
Random448	0.4493	0.421704	0.197181	0.726436
Random449	0.399895	0.383232	0.137635	0.7455
Random450	0.476838	0.459055	0.17617	0.740794
Random451	0.429004	0.407599	0.18852	0.748127
Random452	0.474867	0.463898	0.185342	0.78325
Random453	0.461763	0.433833	0.184654	0.724629
Random454	0.358952	0.330841	0.218644	0.682128
Random455	0.448985	0.421527	0.197908	0.747275
Random456	0.381427	0.364629	0.134509	0.725099
Random457	0.405285	0.37959	0.206696	0.721625
Random458	0.411942	0.384746	0.20079	0.710857
Random459	0.391823	0.366018	0.182103	0.643108
Random460	0.484727	0.471445	0.166343	0.695553
Random461	0.469526	0.456371	0.168376	0.74791
Random462	0.389184	0.361756	0.180121	0.762267
Random463	0.457166	0.434781	0.207902	0.721891
Random464	0.464817	0.448924	0.182834	0.761402
Random465	0.450436	0.423993	0.178316	0.751242
Random466	0.45683	0.426322	0.198821	0.730091
Random467	0.425681	0.401371	0.185488	0.732727
Random468	0.329874	0.28446	0.210552	0.725432
Random469	0.498504	0.48478	0.180395	0.736973
Random470	0.42078	0.400905	0.185944	0.741373
Random471	0.477286	0.467975	0.151337	0.763868
Random472	0.493005	0.482874	0.152295	0.776392
Random473	0.534945	0.521022	0.225867	0.770158
Random474	0.461322	0.446799	0.200099	0.730992
Random475	0.407838	0.386398	0.162404	0.736785
Random476	0.558391	0.540031	0.207672	0.744427
Random477	0.522683	0.508173	0.205283	0.770422
Random478	0.414162	0.38532	0.165193	0.695079
Random479	0.414341	0.389854	0.178327	0.751364
Random480	0.428979	0.400979	0.212574	0.735761
Random481	0.359767	0.341158	0.122567	0.778016
Random482	0.422041	0.409088	0.215781	0.750202
Random483	0.42679	0.403929	0.181831	0.723372
Random484	0.446049	0.425179	0.184925	0.702819
Random485	0.450581	0.418018	0.194881	0.707842
Random486	0.42862	0.413104	0.167406	0.740843
Random487	0.424769	0.409874	0.126566	0.727116
Random488	0.440361	0.413761	0.185627	0.749559
Random489	0.43388	0.416032	0.15718	0.727733
Random490	0.496572	0.471701	0.189749	0.735658
Random491	0.469818	0.458879	0.206833	0.734646
Random492	0.4811	0.454538	0.2128	0.718577
Random493	0.325184	0.310681	0.114995	0.763783
Random494	0.40552	0.392084	0.159695	0.770261
Random495	0.40767	0.390378	0.168114	0.696476
Random496	0.496666	0.464522	0.217346	0.748522
Random497	0.470358	0.450919	0.180011	0.732042
Random498	0.464898	0.446116	0.181491	0.726176
Random499	0.411866	0.379937	0.232178	0.738751
Random500	0.462192	0.441601	0.188114	0.738277
P-value for R to R': 0.372
