	ABI1	AKT1	APPL1	ARAF	BCAR1	CAMK2A	CAV1	CAV2	CBL	CBLB	CDC42	CREB1	CRK	CSK	DNM1	DUSP1	EGF	EGFR	ELK1	EPN1	EPS15	EPS8	FOS	GAB1	GAB2	GJA1	GRB2	HRAS	JAK2	JUN	KRAS	KRT8	MAP2K1	MAP2K2	MAP2K3	MAP2K5	MAPK1	MAPK14	MAPK3	MAPK8	NCK1	PAK1	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PLCG1	PRKCZ	PTK2B	PTPN11	PTPN6	RAB5A	RAC1	RAF1	RALB	RALBP1	RALGDS	SHC1	SOS1	SRC	VAV1	VAV2	VAV3	YWHAB	PDPK1	RHOA	MAP2K4	MAP2K6	P53	ERBB2	LIMK1	MAP2K7	MAP3K1	MAP3K4	NRAS	PIK3CG	PLD1	PLD2	RPS6KA3	MAP3K11	ERBB3	ERBB4	BRAF	CASP9	FOXO1A	GRB10	BAD	SMAD2	SH3KBP1	SPRY2	ARHGEF7	TNK2	SH3GL2	ERRFI1	PIK3R2	PLCG2	RASA1	RGS16	STAT1	STAT5B	USP6NL	MAPK7	PRKCG	SOS2	RIN1	STAT5A	KSR1	MAP3K2	MYC	PTPN5	PTPRR	RPS6KA1	SMAD3	SP1	DUSP4	DUSP6	WASL	PIK3R3	PXN	RALA	STAT3	PRKCE	GRB7	ARHGAP3	PRKCA	PRKCB1	PRKCI
Random119	319610	30624.7	50	4605.33	50	328002	50	50	215177	4.48877e+06	567181	1.00437e+06	8532.11	400058	686.1	22824.4	31818.5	16705.7	100	61575.5	33260.2	849460	70886.8	15134.9	13940.3	262545	401995	467834	5960	86494.1	459949	50	13024.7	36303.1	29995	68411.5	467104	331045	365500	130902	10125.7	3801.06	417629	320334	426567	908050	95228.6	75	387505	111978	288566	1.31579e+06	202215	1730.28	88990	101281	100	22816.1	571069	513466	75	7348.46	51517	1847.41	273767	51617	36587.7	517099	75	281775	4595.98	74434.1	116479	594644	461164	26021.4	465433	566127	544120	253908	148276	133188	5206.08	21299.2	50	50	2166.83	2408	4.86474e+06	74542	100	169751	2444.4	50	1347.98	164522	48201.2	50	200	50	1.15352e+06	672526	386486	87559.9	100	23640	100	68700.5	100	239507	53321.3	50	50	50	239607	61289.9	8444.33	35826.8	50	12491	50	75	100	100	2.0223e+06	100	405155	
Random120	88564.6	15630.8	50	75	50	442037	50	50	44006	2034.24	593245	1.11561e+06	38804.3	319559	17774.4	200058	171368	73974.8	100	930.5	360.167	85760.6	1094.53	4738.78	70	2476.33	1.03801e+06	115987	2.46577e+06	3066.92	250861	50	69703.6	304967	253048	5945	322300	1.25591e+06	2.21706e+06	135636	9014.75	2377.69	42830.1	40154.1	124036	186466	226009	166.781	59971	928908	372618	233847	231724	13567.2	268272	509571	100	53839.9	109003	319838	75	45947.5	862667	128432	143903	876193	201367	276040	75	478119	50	73616.4	2.54118e+06	194404	113270	3315.92	15099.9	165293	897043	204481	54816	103925	48602.2	50	50	50	62.5	147329	13607.8	75	7008.69	50	70797.6	50	5260.7	42416	44155.8	50	2.58234e+06	50	50	9638.21	5069.74	100	252400	2.66423e+06	79491.9	2997.5	100	1.30698e+06	138711	50	50	50	3.3169e+06	66356.7	6924.16	35902.2	50	241500	50	19284.3	504703	100	93677.1	100	93013.1	
Random121	54214.5	8430.02	10244.9	25429.2	50	3.04595e+06	50	50	51857.6	218895	540713	2529.32	16089.4	340709	104781	14605.2	66000.8	34814.1	100	2163.75	771.25	102659	419.824	38963.8	70	3257.74	140026	1.18093e+06	13678.7	1042.81	12759.7	50	122933	5076.8	4633.72	24730.3	175187	40031.3	39042.2	646348	76423	33930.9	150	150	760134	186841	3904.95	330612	173433	125961	216600	34480.1	129550	109130	70908.2	364805	187212	17230.3	5873.5	301312	75	15414.2	142036	150024	109700	142136	228859	54728.7	75	98938.6	50	85718.5	61022.8	1.24741e+06	21565.7	47133.5	84942	265906	2708.85	16855.3	39065.5	27115.3	361379	50	50	49730.1	62.5	1.0153e+06	256497	6763.85	100	50	106544	50	207756	19318.4	229001	50	14798.2	50	48031.7	15097.9	4298.55	100	3993.58	36629.2	100	12390.2	100	39416.4	8916.21	50	50	50	1.06063e+06	22013.2	64055.8	35051.4	50	663710	50	75	100	100	197300	100	100	
Random122	263231	29385.6	50	1249.75	50	46877	50	50	40568.4	238152	366160	5448.09	17984.5	50	5418.1	10011.2	41577	20945.5	100	265533	88561	223153	1449.67	17460.3	70	4011.15	572098	1.81917e+06	81596.4	3929.21	1.90978e+06	50	20265.3	43491.2	60073.1	143390	308669	38096.8	10117.5	158617	34932.6	90064.1	978498	2.84952e+06	545166	33935.2	4320.21	677.542	141821	37565	795489	904155	29899.2	342387	3664.33	7131.67	100	189119	15369.8	183333	6909.4	9631.68	100	1.07702e+07	22943.7	308457	50570.7	11511.3	75	2.46007e+06	50	25428.3	15865.4	20354.1	1.05629e+06	81646.2	17711	189335	6748.73	77179.2	404964	807452	6.38797e+06	50	43180.1	50	62.5	15609	238202	6823.49	286998	112015	21372.4	67933	384364	67183.6	141647	50	309096	50	50	20606.6	3310.23	1.55886e+06	878711	150	12525	106531	100	89776.9	24031.1	50	50	50	300182	29627	32193.9	4.18118e+06	50	3667.33	50	47514.3	6.71935e+06	100	27241.6	100	175947	
Random123	11833.6	8687.93	50	23160.7	50	126818	50	50	62226.5	60684.1	422101	56938	12148	50	14954.3	101715	52421.2	26244.8	100	81410.3	54711.1	124581	361.954	12262.2	26223.1	245754	1.15227e+06	4.30087e+06	102442	869.194	500	50	84368.9	143699	15656.8	438623	2.30681e+06	124599	85951.4	122949	229679	229741	272424	150	401683	766461	38392.3	505710	144321	1.05669e+06	332319	26740.5	125985	110936	23275.7	100	449775	42208.5	138081	421688	42310.8	31072.7	28393.6	232158	153753	87384.4	141253	32227.7	75	536894	3748.63	50	149299	32705	400	575598	116516	971530	67211.2	15212.9	212047	148212	1.30385e+06	50	50	50	2316.94	42256	91629.9	12200.5	1736.89	50	100	50	28901.5	20363.3	79695.4	50	166431	50	35458.9	1.195e+06	223479	1.38832e+06	13905.9	236821	100	374331	100	671526	148283	2.82353e+06	50	50	1.41971e+06	296782	918567	150163	238357	861680	50	75	563242	100	179107	100	707625	
Random124	291523	126225	87133.8	137485	50	44930	50	50	30608.1	75	88300.4	40151.6	12786	200298	15739.1	17552.6	56489.4	29440.8	100	15049.6	16612.3	245479	432.815	3563.78	940840	24080.2	1.21726e+06	840844	48199.2	1081.78	838429	50	286773	86754.2	4964.68	41821.2	321921	10938	286136	42893.6	52264.8	13721.7	108672	100634	783378	267305	49487.2	75	85615.7	452771	155051	94556.2	52169.8	45167	150	622847	1.95636e+06	224844	28559.6	254037	104592	234503	100	52521.4	41024.2	96625.4	12740	3673.88	75	91722.5	50	9446.77	616432	8169.08	242260	8583.17	75931.2	600556	22943.9	5976.77	294069	57278.6	82651.9	50	50	50	62.5	14960	10270.6	75	2831.15	50	40183.4	50	168190	16795.8	196278	50	200	50	2384.46	51905.4	855655	89772.6	1426.71	140903	100	31899	100	50298.7	14740.9	50	50	50	147220	40304.5	66231.5	348395	50	4.81345e+06	50	75	12197.4	100	140551	100	100	
Random125	294346	188991	126937	219410	50	2.37574e+06	50	50	31454.1	3515.5	124666	16430.8	8020.81	16338.4	3803.2	26043.7	27796.9	14574.4	102786	116864	39004.8	453540	110.722	1105.24	70	3323.44	176062	272820	12919.4	115.5	50693	50	33475.5	964448	86117.4	1.69284e+06	657386	94673.5	70261	194332	53570.1	5148.66	140182	1079.87	8471.87	19818.1	159890	75	24025.6	5750.88	302425	166447	1.04742e+06	27497	45285.3	85080.7	100	25841.6	45984.5	132357	191.194	26391.1	780893	76761.5	71852.8	137826	643501	91566.5	75	479293	50	50	1.57527e+06	326035	50620	150	20583.7	118310	20067.1	449143	5672.59	130056	21879.4	50	50	50	62.5	791896	3565.5	14676.6	66437.5	124266	14912.8	50	29023.1	6321.14	9683.45	50	25085	50	135922	7192.36	135394	366152	100	15608	67178.6	1.46022e+06	100	47960.9	11950.5	50	50	50	128234	76689.9	194604	122137	50	39995.3	50	75	1.19238e+06	100	50657.7	100	26791.8	
Random126	457386	15677.6	50	37907.1	50	189226	50	50	205891	341612	1.11806e+06	411392	298421	290389	10374.1	24369	1.31908e+06	557197	100	4724.25	1624.75	476471	4319.12	41928.2	56097.6	216418	591599	77056.6	804.312	34697.2	74215.6	50	19345.4	59339.6	166788	5383.17	444463	115100	396992	35984	606807	595287	150	150	96840.8	28070.7	121795	1473	53263.5	50223.9	392536	27813.2	279383	13946.9	150	5388.75	1448.5	271675	531377	364575	75	425057	100	210233	124762	395345	24321	27077.8	75	103080	433045	15121	156915	64460.9	2.43859e+06	182175	29986.7	130889	271577	152475	41075	27454.5	150365	50	50	50	57429.7	1952	341662	75	199658	50	41196.4	50	43103.5	443832	580850	50	342.125	50	23624.9	1.11191e+06	186453	100	22051.2	2875.12	100	4180.34	100	181503	44254.8	50	50	50	216780	55621.7	1.30124e+06	94254.5	50	9484.25	50	96.25	86203.8	100	80679.4	4446.85	162571	
Random127	4689.35	61917.1	50	5628.67	50	4.65597e+07	50	50	63158	47032.5	223821	366128	27269.5	178265	341481	12516.1	120347	48525.2	100	25965.8	8705.25	481922	1566.6	4059.83	28530.6	1431.88	339085	4869.58	1.0493e+06	4483.14	7632.67	50	7639.21	41807.9	110245	50728.4	309515	153714	23710.4	274965	12374.5	3341.83	13846	147295	100	16462.7	1985.22	75	98426.5	302674	130531	1.10725e+06	57112.4	10153.5	59820.7	79761.3	260.222	32119.4	9530.34	196044	75	28644	100	16565.2	106946	131629	82823.4	36435.2	738052	107122	50	17503.4	67704.7	29133.5	277175	68561.3	51715.8	353812	11457.2	368734	15937	23963.4	4811.62	50	54647.4	50	62.5	1.54059e+07	47082.5	17241.6	126041	50	886135	50	36323.7	27270	39788.6	50	2.36561e+06	50	1.00408e+06	4731.62	3709.66	100	644.333	82842	42785.5	52641.8	100	133296	29908.2	50	50	50	186368	35458.5	16023.2	146684	50	20140.7	50	364965	3759.11	100	93290.5	100	100	
Random128	545236	4159.78	50	2454.95	50	27980	50	50	82901.5	39447	3.17792e+06	132017	2855.11	599163	726043	10538.8	12564.6	6118.48	100	7016.75	2388.92	462890	304	4666.68	70	9748.74	313109	375059	324180	695.333	204960	50	3484.76	231545	7112.46	458569	254311	60797.4	35910.8	501294	65045.7	30081.5	396146	393978	397142	625332	146106	6585.14	111986	470864	931387	112384	57650.5	8980.86	19337.2	21400.8	13747.9	306377	54841.3	621605	75	466435	100	58558.7	86059.4	198393	777293	7256.65	75	1.68025e+06	40335.1	50	375028	320613	134077	133081	2987.52	137744	115195	81568.5	486043	354527	20260.8	11626.9	50	50	2431.68	9310	74528	30076.2	5874.75	3.17752e+06	1.26498e+06	50	357965	557756	310299	50	1.00711e+06	50	50	47040.3	142044	100	108573	483251	100	423889	100	61058.1	13655.9	50	50	50	498169	31162.9	43764.3	1.07714e+06	50	43207.2	50	75	1.12699e+06	100	5432.78	100	100	
Random129	14766.8	36461.8	89263.9	7542.04	50	2942	50	50	169635	62814.2	307595	7499.99	165772	1.32544e+06	98443.1	428579	83382.7	43999.3	100	44370.2	27114	27062.9	1987.4	7415.28	6513.74	198666	302742	130807	17503.3	5745.53	131947	50	12829.9	97014.3	35048.8	271371	460337	85658.4	402533	194786	29097	146540	1837.57	344502	2425.57	299574	24550.5	175363	380579	449911	784507	184574	48386.2	3610.48	150	69851.9	148164	37987.7	18129.3	1.05731e+06	98760.5	81396.7	182911	238055	45761.5	324862	59791.2	16884	75	297107	291045	24860.2	169698	12510.7	64558.3	297.38	32680.9	149640	10202.8	32230.9	78402.4	50751.8	191907	50	50	50	27827.4	964	138882	45957.9	100	227327	393472	50	25037.2	19348.9	49980.1	50	9656.88	50	30290.9	503160	283165	75157.4	22874.2	27374.9	20141.2	175935	100	251494	56274.5	50	50	50	251594	17614.7	63999.2	102554	1.08323e+06	409202	1.17091e+06	75	167125	100	66122.2	100	100	
Random130	15623.4	61641.9	50	455376	50	4304	50	50	465945	175170	2.00598e+06	130294	62165.5	283995	14144.9	15949.7	274762	119169	100	104249	46702.6	17093.3	107.315	8574.6	70	69527.3	204870	393052	142392	105.278	285574	50	222134	210045	24297.7	48240.2	266079	281449	226933	359341	55362.1	44599.8	147454	191893	100	147705	6599.96	80753.7	57989.5	33928.4	316687	46629.2	582977	34377.3	32215	903074	174534	231475	18282.4	323127	75	63756.7	100	48758.7	545770	2.01041e+06	109252	442841	75	135202	50	39225	449452	502834	146260	150	46467.4	147699	165000	220343	69018.5	27632.2	204907	50	50	50	54179.8	1418	175220	188733	3.46511e+06	50	56279.6	50	9721.66	157403	62115.8	50	371966	50	1304.42	260224	146494	100	41511.4	150	339799	72154.9	100	20823.6	306788	50	50	50	644231	37150.9	84142.6	168172	50	1.28271e+06	50	91141.7	28395.2	100	245515	100	100	
Random131	162728	25776.8	50	26172.7	50	2.9112e+06	50	50	215493	132655	1.06018e+06	434580	15513.1	50	276037	77076.5	67734.1	32154.6	100	6227.25	2125.75	237828	1530.1	18172.7	2127.51	7999.53	525162	256090	17611.8	4373.64	359490	50	18125.6	11300.5	4668.65	108614	83309.1	38122.8	186527	305844	208006	415887	319004	313053	268707	341743	141238	16051.7	88706.6	1.1784e+06	680388	60279.9	353046	6054.9	240766	463002	100	303978	105825	298148	210937	356812	100	126203	20107.3	711937	18478	22948.2	75	1.01992e+06	696983	475731	554367	99668.2	257736	26170.2	3784	2.05638e+06	55175.2	8753.19	659737	225839	56579	50	50	50	16186.1	840963	132705	167508	984659	122132	640639	50	54209.3	17837.5	639158	50	39747.7	50	88969.3	35879.2	37595	100	100	79777.7	100	55197.7	100	89799.7	21881.2	50	50	50	175125	7844.55	217586	1.08273e+06	1.0195e+06	222437	50	1431.25	1.00512e+06	100	17943	1.9925e+06	489	
Random132	11836.7	189793	59485.8	272290	50	66390	50	50	36859.4	75	251620	21130	7007.47	282349	8179.4	35139.8	20572.4	10695.5	8094.79	68628.9	34156.5	11184.8	101.583	621.142	15467.7	26034.6	105002	330268	18777.8	88.0833	177579	50	109289	57249.1	10596.2	17320.6	801979	41167	35244.8	50657.8	61574.6	2437.08	235102	238445	235525	427824	46027.3	3841.5	222483	95890.1	256609	70339.2	23178	12962.3	150	86715.3	288850	56484.3	2230.84	297175	1267.77	382320	100	13181.3	101616	149987	63317.9	5066.53	75	8555.49	50	50	87739.6	59970	166096	19733.6	425	696027	1080.85	12443.2	433264	3244.11	1539.94	50	50	427937	62.5	15443	11555.1	9570.51	4208.02	150826	32417.6	50	766.64	25251.6	268789	50	200	50	2352.96	133093	44857	100	3173.71	51650	100	27618.2	456694	215375	47954.1	36776.8	50	50	451892	104650	43084.1	453952	50	719456	50	273.75	9805.24	100	7545	408948	251111	
Random133	380.09	6256.78	50	85950.3	50	86175.5	50	50	23512	142968	584910	55437	33039.8	223557	40349.6	21874.2	139830	56379.6	100	85531.1	48765.8	13432.1	144.935	8067.48	70	283068	77817.2	415408	191365	218.139	481715	50	29701.1	64619.3	190185	19334	667273	76485.8	108849	34328.5	82198.6	9166.05	25071.8	150	955298	251157	276.159	180034	26455.2	43251	115023	916648	160262	3915.54	744	2115	100	26586.4	568.575	177936	6826.49	55312.4	24544	7361.8	46974.6	105996	79136.3	61979.5	75	71486.8	36314.2	50	115354	41671.2	282754	150	20033.6	170031	558.617	872834	35232.3	25569.6	13949.2	50	50	50	62.5	10492	143018	75	21182.8	50	161098	117418	231183	31777.2	25450.3	50	196086	50	11563.4	650625	395020	100	1.01499e+06	450892	100	9692	100	159225	38484.5	1.34238e+06	50	50	273335	63114.4	271055	17858.3	50	1571	50	75	100	100	30220	100	100	
Random134	232134	31563.4	442836	4651.54	50	905	50	50	79012.3	75	899410	1.31873e+06	179175	368507	139080	30723.5	160257	79497.3	100	74200	119514	204443	218437	41587.7	139430	531.046	1.84324e+06	41395.3	119905	205153	546313	50	10445.8	506341	6406.39	8793.07	454301	54891.7	454847	416130	15964.5	663953	150493	159621	163590	506399	65514.8	11421.5	178596	128916	273066	442936	203761	23593.8	51118.3	102248	100	159419	105391	451761	317697	36624	100	46243.1	378103	161772	70471.9	24318.5	75	220552	1.08294e+06	67480.6	1.03059e+06	53305.4	60734.3	128025	2859.92	17465.8	779075	13342.8	93721.5	55998.5	5285.04	50	62876.8	50	62.5	285	28927.1	75	6255.54	402293	100	50	150	39013.5	62748.9	50	200	50	50	2455.62	580.66	780676	100	218457	23242.2	15604.1	100	164046	36629.2	50	50	50	425137	57636.3	14014.3	23943.7	50	51329.3	50	75	100	100	5712.38	100	100	
Random135	1060.93	85530.1	73596.2	40322.4	50	439184	50	50	54705.6	226240	540947	447964	68119.7	287270	16899.3	250851	300445	129000	100	17651.8	5933.92	25070.4	260.991	12538.8	70	20227.3	315606	74738.4	636533	566.306	124998	50	45846.7	97254.7	14590.3	2365	315767	74794.4	141163	49836.9	25030.2	497733	150	244333	100	240303	410.355	15851.6	54958.5	151200	226856	113828	221289	54989.9	23839.6	100	30831.9	65212.1	2070.63	291515	75	112880	100	85183.4	50367.7	83897.7	69735.5	7979.49	75	99470.9	206540	35739.2	669097	6763.33	891492	223006	11382.1	31493.7	4274.3	9009.41	30181.2	30081	25274.6	157559	50	50	56922.1	778	263347	75	408.085	50	67297.2	50	21899.3	74467	102491	50	2.48166e+06	50	42857.2	76848.8	44364.8	100	12217.5	150	369817	1207.5	100	114925	25907.8	50	50	50	115025	6760.49	18877.8	34131.6	50	22882.6	50	75	146620	100	31452.7	100	13616.3	
Random136	1.03541e+06	64726.4	466008	1119.25	50	82199	50	50	31577	713350	3.33079e+06	23772.5	45711.7	233256	246.3	434426	202063	88333.7	100	2415	855	870524	54346	5535.63	70	75921.7	1.53604e+06	295566	3959	551132	1.69878e+06	1.24515e+06	66237.4	73858.4	57476.4	731.667	153434	450958	2.59306e+06	452630	25242	3.29067e+06	328109	23847.1	117024	150911	74406.4	75	35153.1	3.71842e+06	323432	1.09056e+06	1.61528e+06	41971.5	344521	67868.2	116022	99096.4	71754.3	238470	75	160992	100	36985.8	102547	81324.9	6003.76	97664.8	75	696751	1.98169e+06	243854	340989	115564	168379	2137	183341	283625	30839.7	45028.9	211824	106387	1.71466e+06	50	50	50	328983	27383	713400	75	11177.2	50	685.2	4034.76	62898	46897.1	114968	50	7819	50	116607	282904	159260	100	291425	8017	100	390.833	100	1.75823e+06	131244	50	50	50	2.11173e+06	22072.4	22147.7	421249	9.75888e+06	150	50	416875	399376	100	490079	100	100	
Random137	6133.92	14307.6	286629	15462	50	1.36769e+06	50	50	66909.7	1387.5	518513	74732	95931.1	191618	4801.1	23455.8	413487	209744	637688	3.18017e+06	2.35226e+06	55214.9	4417.3	38475.8	70	73472.9	1.09682e+06	19108.5	37182.7	33992.6	83476.5	50	17940.4	34161.8	63671.4	31687.3	261366	46274.5	333286	33471.4	28667	30399.8	150	1.94335e+06	100	218521	15942.8	199812	73167.9	107207	237595	625679	125892	3621.06	18769.7	25809.3	100	147128	5759.66	238656	39855.1	94779.7	100	10937.5	61758.3	337384	43778.6	41826	53099.7	135157	50	50	48089.5	42278.8	128078	150	22672.8	164281	4759.61	352820	70343.2	39054.3	12864	50	50	50	51598.7	432691	1437.5	75	206274	456840	18904.4	50	343600	178848	118363	50	147170	50	120125	383752	56935.4	100	144580	150	100	15868.7	100	138117	30764.8	50	50	50	169364	33563.8	29644.3	487022	50	7239.67	50	75	100	100	39824.1	100	100	
Random138	11585.6	389382	200743	77795.4	50	8.99388e+06	50	50	50685.4	76306.5	2.25127e+06	52698	34621.1	272111	37035.8	117669	203852	103382	100	13499	4549.67	122288	190.139	5300.39	2.21264e+06	98161.5	1.70927e+06	582289	5308.9	353.75	40270.8	50	30583	85801.1	4.33793e+06	23300.1	483144	3.32742e+06	548190	146766	518234	22096.5	91704.6	8445.59	40139.6	36447.6	310139	75	38681.1	881407	236770	723713	578720	3666.68	150	739.5	473.667	38356	24650.7	262376	296626	475724	1.1691e+06	4152	128078	3.21972e+06	36755	336679	75	339202	49803.3	9994.7	119882	229806	38370.8	730.299	96890.3	272236	10773.6	5.7888e+06	113090	64332.8	23420.6	50	50	50	7731.88	2.98342e+06	76356.5	75	440879	50	147843	50	20530.1	34798.1	399577	50	21085.6	87316	307013	491372	97446.9	100	82923	150	100	30375.1	100	353322	92477.2	50	50	50	1.39475e+06	60795.3	1.21939e+06	103297	50	1910.5	50	75	13383	100	245936	100	413461	
Random139	28023.5	9615.53	50	8882.22	50	573175	50	50	357491	75	165759	668943	23784.9	136642	29014.5	895020	95503	50086	100	6241.5	2130.5	24528.8	130.296	9663.08	70	7153.99	314780	676047	87619.1	174.222	661541	50	31733.1	69083.7	56193.9	2.77617e+06	969619	330724	513334	1.26908e+06	40723.9	167754	444174	113508	17011.8	332192	20929.4	8924	68394.7	295918	137276	1.66648e+06	71118.3	5920.76	150	10964.3	3856.17	48198	3612.18	172773	75	55313.4	10814.6	7602.44	34396.3	72698.4	622408	7162.52	75	142006	98284.1	1.92755e+06	2.19314e+06	16479	690636	150	1.05896e+06	427021	49652.2	32453.5	163974	28425.2	21320.7	50	18981.1	50	16432.7	10705	215469	500676	94950.3	50	115758	50	26700	23089.1	110467	50	16449.9	50	50	26244.6	27301	100	1.82922e+06	235864	100	2.32155e+06	100	482491	108277	50	50	50	743271	2738.93	29636.9	150185	532797	22282.8	50	1466.5	95966.9	100	2.76274e+06	1.86817e+06	392	
Random140	2619.37	4865.58	50	81769.8	50	96219	50	50	11341.7	70311.9	223116	107209	6012.64	57437.1	96891.5	32745.1	26416.9	11228.5	100	24647.8	8265.92	302286	292.796	13429.3	70	2770.7	249510	1.32367e+06	72007.2	661.722	1.3244e+06	50	47535.7	49631.1	33658.7	225544	724368	280679	57003	1.48485e+06	7776.51	3428.32	108555	76796.9	88541.9	165472	13174.7	2834	16011.5	124059	177801	3.31902e+06	127056	4346.54	111219	169857	100	107768	5704.34	102795	551022	38079	100	73821	10451.6	442564	2.61516e+06	31418.3	75	307516	50	50	1.2198e+06	793578	1.33732e+06	4640.08	135587	120878	16741.2	389888	11156.1	137125	46453	50	50	50	3005.31	4957	78579.1	75	100	50	252387	48112.9	46009.2	50272	15097.3	50	104305	50	282883	10481.6	12314	168560	3.65151e+06	67291.5	100	390017	100	372007	83297.5	50	50	50	1.64557e+06	96482.6	8579.66	98761.6	36366.6	58838	50	1877.25	152041	100	545405	101776	302	
Random141	34535.5	77106.4	266374	6520.49	50	397640	50	50	10998.7	29833.5	250532	3781.76	4881.26	72398.2	789.2	22920.6	21029.6	10161.5	100	169415	70796.4	113958	1347.72	1896.91	464269	247231	334748	56729.4	21252.1	3826.5	56430.4	1.39432e+06	6066.41	34281.2	55749	1.79423e+06	163258	649029	102922	59703.5	14338.6	3407.1	533331	111173	6609.68	2908.02	1025.38	64467.3	30068.6	318297	78089.2	641869	13521.2	4337.79	15305.2	12497.8	1019.17	9065.96	5606.56	83044.9	75	5221.59	100	211264	30108.5	46078.8	167317	77851.1	75	142720	13278.4	50	53247.1	54211.1	70856.4	8137.08	314786	30456	3395.07	57855.2	119282	48887.1	128234	50	50	50	62.5	132530	29883.5	99.2373	34853.2	250132	2856.8	50	1419.92	5365.81	52733.8	50	28228.6	50	164424	1.06834e+06	187452	100	123774	56779.6	100	1.10607e+06	100	94353.4	23944.3	50	50	50	415437	24000.5	20624	677395	50	150	50	465.75	100	100	822352	351836	6168	
Random142	241446	988.923	50	34578.2	50	4.43368e+06	50	50	39342.5	394431	1.44459e+07	2.52714e+06	6516.53	113039	280	309365	25569.3	13022.2	100	9787.75	3312.58	601861	164.315	13048.8	70	827.358	244488	333441	9841.1	276.278	336448	50	72993.3	235444	23597.9	68293.5	283427	210041	3.47135e+06	355017	79503.4	11265.8	150	1.8866e+06	113709	77440.6	86660.9	7602.5	41316.4	25291.3	144873	639224	3806.1	41282.3	302092	153999	91932.1	26475.7	485862	188545	10868.1	81367.4	4016.52	36644.4	579442	220575	733959	23433	20295.9	226204	50	50	295830	270019	334762	150	999344	810717	2.46399e+06	534243	219917	113591	23032.7	2566.77	50	50	62.5	1.47788e+06	446587	18595.4	30853.6	560	820	50	483422	10116.4	87377.4	50	200	50	649917	3454.7	68697	328867	1604.41	39164.4	697466	118623	100	1.20941e+06	271503	50	50	50	2.08243e+06	36753.2	181265	1.13675e+06	50	127604	50	8871.25	100	1.34279e+07	3.92157e+06	782207	4029	
Random143	16411.9	30175.7	450728	170769	50	13577	50	393959	86340.1	911025	1.29656e+06	1.0223e+06	10234.8	50	56954.4	33136.3	43090.6	15781.5	100	91659.9	37165.5	221918	192.704	61598.7	70	20385.3	277421	229957	28623.5	361.444	241722	50	36519.1	112396	29487.3	119852	344988	68359.1	355929	57386.7	240854	3383.66	689914	1.17784e+06	709536	1.24681e+06	311683	149173	135737	516578	2.25287e+06	816558	355602	11440.5	51870.7	116963	100	324835	124015	577221	75	1.47387e+06	100	31376.9	255900	200605	36478.5	45963.5	75	5.34573e+06	50	48568.4	578458	355959	232324	92665.4	10843.4	272575	841589	85885.6	26904.7	1.55347e+06	7438.26	50	50	50	62.5	4509	911075	40764.2	47097.4	475906	227518	50	481146	1.81016e+06	313954	50	57091.6	50	343741	77262.8	44898.8	100	100	8080.59	175762	101837	100	134924	30064.4	50	50	50	361788	44377.5	764359	2.05222e+06	30461.7	65292.7	50	75	3.13261e+06	100	17252.6	100	100	
Random144	9804.49	35512.9	469669	75	50	181682	50	50	45955.1	127230	3.21169e+06	287789	193838	50	18979.4	407615	141702	74785.3	100	22163.9	10624.2	69292.1	5436.75	3719.34	70	1991.31	197036	90060	8970.7	16093.6	58933	50	251003	1.4856e+06	28779.1	3398.67	207702	111482	3.78369e+06	207453	37652	4903.73	218400	87820.9	87968.9	209181	15169.2	75	82614.2	20403.9	703409	1.06319e+06	956424	25192.1	150	29241.5	67988	65488.1	23605.2	320011	75	50381	100	29460.5	169441	51256.9	711160	24274.9	75	386818	50	473251	1.25472e+07	16388.9	109258	7352.16	69464	548064	168732	34387.4	67320.1	69398.3	1768.88	50	50	50	62.5	60544	127280	75	39729.3	50	75617.6	50	92426	302132	53473.3	50	200	50	202239	3957.74	7840.11	459879	208823	35682.8	100	1724.33	100	2.52905e+06	120563	50	50	50	2.6627e+06	28635.5	89756	139809	50	184372	498021	609831	191007	100	113782	100	100	
Random145	117018	33010.2	50	75	50	221894	50	50	100214	169524	635831	212271	99630.4	1.03048e+06	13111.6	45908.9	440293	224697	100	7901.42	11617.7	103194	2499.87	13254.7	90328.4	9287.6	487216	32645.1	22846.6	7282.94	474038	50	51300.3	28874.7	671267	63653.9	199640	509328	67711	37286.7	54232.8	219130	102984	89935.3	85282.3	203536	50552.4	57685.5	97149.8	48425.2	475251	55378.8	159019	6945.74	843	2392	100	118597	42572.3	451439	107598	193248	110019	12095	49194	499404	43487.5	56927.8	75	640072	50	12337.9	240992	113228	31398.1	96983.9	54842	6.6791e+06	171519	1.0249e+06	10247.2	144271	19866.4	50	50	50	142727	73948	169574	75	106381	50	37555.4	878038	83677.7	99641.6	130090	50	200	50	50	36284.3	462510	127420	57948.6	57094.7	100	54275.4	100	101205	26927.4	50	50	50	215477	34143.5	36261.9	220148	50	1749	50	13339.2	1.48053e+06	100	154979	6.15145e+06	6773	
