	ABI1	AKT1	APPL1	ARAF	BCAR1	CAMK2A	CAV1	CAV2	CBL	CBLB	CDC42	CREB1	CRK	CSK	DNM1	DUSP1	EGF	EGFR	ELK1	EPN1	EPS15	EPS8	FOS	GAB1	GAB2	GJA1	GRB2	HRAS	JAK2	JUN	KRAS	KRT8	MAP2K1	MAP2K2	MAP2K3	MAP2K5	MAPK1	MAPK14	MAPK3	MAPK8	NCK1	PAK1	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PLCG1	PRKCZ	PTK2B	PTPN11	PTPN6	RAB5A	RAC1	RAF1	RALB	RALBP1	RALGDS	SHC1	SOS1	SRC	VAV1	VAV2	VAV3	YWHAB	PDPK1	RHOA	MAP2K4	MAP2K6	P53	ERBB2	LIMK1	MAP2K7	MAP3K1	MAP3K4	NRAS	PIK3CG	PLD1	PLD2	RPS6KA3	MAP3K11	ERBB3	ERBB4	BRAF	CASP9	FOXO1A	GRB10	BAD	SMAD2	SH3KBP1	SPRY2	ARHGEF7	TNK2	SH3GL2	ERRFI1	PIK3R2	PLCG2	RASA1	RGS16	STAT1	STAT5B	USP6NL	MAPK7	PRKCG	SOS2	RIN1	STAT5A	KSR1	MAP3K2	MYC	PTPN5	PTPRR	RPS6KA1	SMAD3	SP1	DUSP4	DUSP6	WASL	PIK3R3	PXN	RALA	STAT3	PRKCE	GRB7	ARHGAP3	PRKCA	PRKCB1	PRKCI
Random10	794603	15599.7	50	73287.1	50	181160	50	50	35775.8	4814.37	779884	909467	20666.4	203171	100	97975.1	55447.8	28742.6	100	304634	215377	804741	277.731	1508.39	70	14420.4	527593	877469	27316.6	616.528	862178	1.93379e+06	133718	176216	92728.6	79715.4	2.36039e+06	714449	285340	218188	117368	102925	80734.7	70814.7	83886.3	78431.9	357136	228980	88997.5	102617	227312	509941	197599	22602.5	1989.67	5020.33	100	17806	946869	367265	75	13185	137972	19345.2	705982	138072	426903	97013.8	75	90178.5	65129.5	50	276442	334451	850653	6045.23	36933.2	386631	864491	96161.7	181533	18611.6	90702.6	50	30949.5	50	21441.1	60370	18339.6	1596.49	1814.91	50	100	50	6782.05	13209.1	87146.1	50	95030.9	50	7349.67	56859.1	29513	100	453021	150	100	128233	100	753174	167782	50	50	616053	942244	292404	331269	250127	50	3230.67	50	75	100	100	76053.9	100	100	
Random11	15734.5	78014.7	1.01437e+06	397027	50	29543	50	50	48734.4	68237	1.29736e+06	494526	30954.4	68531.5	26090.6	8525.66	113390	56478.7	100	2042.25	730.75	96762.8	335.389	92030.2	70	7328.5	449341	491599	11580.8	789.5	492937	50	71472.4	10814.2	11198.4	284338	226167	68223	74240.1	101364	61000.1	37539.9	89849.1	129203	486444	218483	46815.4	1892.75	85514.7	814161	265665	2.16465e+06	473116	6879.94	246930	93480.6	57863.7	80436.7	35973.5	322576	75	121252	1.32368e+06	66011	103124	1.29723e+06	300273	184592	75	243540	116546	16638.6	50165.8	2.99746e+06	262775	7636.67	209275	305039	343103	76388.3	223032	46299.7	619872	50	50	50	62.5	9831	75640	75	11794	50	100162	50	99304.4	27932.1	118436	50	200	50	361349	30105.5	18072	401275	377405	597637	100	142194	100	83953.8	19090.1	50	50	50	84053.8	25209.4	125400	348980	50	20041.4	50	6656.5	151527	100	974450	138514	7718	
Random12	15211.1	568382	50	44911.7	50	582471	50	50	116405	74326	324104	328151	16224.6	50	44245.8	24771.3	71689.8	37724.6	100	11130.8	3760.25	143391	36385.3	23924.7	4387.1	15332.5	393615	125162	59509	22133.5	477191	50	8418.73	1.3768e+06	3524.37	37939.4	748219	30996.8	141694	236290	40118.3	276331	389451	150	100	65029.9	25776.5	75	123674	719193	512811	284593	258390	44867.6	43045.7	180550	109659	39672.8	19174.3	524336	103821	47887.2	100	148423	317177	325785	352548	3588.01	75	420702	88853	50	2.33391e+06	186314	261596	95183.7	27672.7	194858	18099.2	46224.5	62028.9	70871	140047	618	351	228458	100046	161547	74376	31562.7	311638	50	44992	50	79643.4	16377.2	41923.9	50	87242.9	50	264192	78652.4	13192.5	100	20729.4	83308.9	18513.3	74622.8	100	150	133.333	50	50	50	163204	73291.2	135430	249047	85629.9	337955	50	35822.3	191431	100	47561	100	186093	
Random13	33482.9	24710.1	84377.6	9687.09	50	23201	50	50	73948.4	1.36791e+06	2.1694e+06	158446	1635.3	292404	941.6	271673	5494.17	2865.2	100	291131	125500	47385.6	597.574	1178.85	854.797	209569	138493	484924	10790	1576.06	45801.2	50	6103.75	1.03077e+06	68784.5	121279	633552	579157	421165	519383	32764.8	199929	234790	34123.3	35236.3	81787.2	37199.9	49446.5	82875.6	183664	258832	135364	74661.7	69825.9	73830.9	23957.1	17697.2	30289.7	35120	227672	4692	90011.3	100	1.19459e+06	307997	9434	154891	405493	945020	411621	50	46697.1	1.73796e+06	467257	263716	18983.3	1761.75	1.54259e+07	69092.8	415053	8854.85	125988	748893	50	50	50	76005.2	7717	1.47912e+06	26973.6	76463.3	357844	3466.4	50	139070	26774.6	24275.1	50	28121.1	50	32619.1	495531	470257	100	25750.6	52191.9	100	146589	100	89770.5	20866	50	50	50	547126	35020.4	116553	162205	42406.9	150	50	1.3831e+06	178912	1.00185e+06	4850	1.30249e+07	309919	
Random14	1069.75	2652.93	42731.2	90980.1	50	99703.8	50	50	26069.5	6921.83	95724.5	98674	13515.5	133034	31081.9	10369.3	59678.4	31167.2	100	183805	102247	23468.3	295.907	67877.9	24992.2	155.351	673386	105142	26782.7	671.056	16576.2	50	17824.9	17449.9	2992.54	104950	320704	17409.8	13626.3	19669.8	25061.9	69713.2	177140	37584.7	40805.7	73716.9	18718.5	75	115847	90220.2	109488	52705.8	23821.4	3040.55	1135.4	1253.6	144.4	91311.8	24306	161734	337291	26121.3	28030.8	14471	123610	377584	7312.5	8282.52	75	151443	90618.6	36569.7	70295.9	11093.8	438687	117684	45276.9	362364	11113.8	4790.66	47416	62549.1	3755	50	50	50	62.5	3597	11385.2	75	14556	28571.5	100	50	25875.4	13795.2	32870	50	21903.3	50	7588	502.468	279.638	290905	15330	25765.3	100	63293.5	5210.18	68336	15364.2	50	50	318291	129589	30611	58716.7	280295	50	451.4	50	419541	386885	100	74419.5	100	100	
Random15	8686.62	111530	50	238.9	50	549395	50	50	17461.6	15445	573380	70691.6	59193.7	50	1695.9	10344.1	44311.4	22272.1	100	6283.25	2144.42	586982	294.167	6341.67	262539	61852.3	202154	682.2	10272.6	665.833	3.65828e+06	50	44160	25403.7	22108.1	4.48769e+06	273617	108555	69113	567882	622894	62364.2	261475	150	100	172738	66821.7	75	22686.2	154894	523800	1.34724e+06	368966	183529	84848	100	129061	99402.5	18837.5	128093	75	2.06489e+06	100	263661	56016.1	765814	1.74654e+06	20905.3	75	1.2555e+06	50	3111.83	9585.5	14122.4	400	898679	114997	148887	29917.7	25454	11159	396051	78114	50	50	50	62.5	183115	15495	1360.63	13847.3	50	6483.6	50	197255	96082.7	100209	50	14849.6	50	1.22012e+06	191192	126764	100	49294.8	26240.6	5132	3.90909e+06	100	98540.3	22688.7	50	50	50	344566	25001.5	2.37039e+06	653636	50	129139	50	75	168536	100	498517	100	109958	
Random16	4343.75	13527	43720.5	5587.51	50	185009	50	50	215555	75	716574	124879	205148	1.25072e+06	149507	44163.5	116626	61062.1	100	147383	177848	32642.5	2970.97	27918.3	96309.7	2002.36	2.4727e+06	366855	152078	8696.25	127066	50	15943.4	41234	185020	12703	635972	374054	170576	1.62667e+06	31058.1	101643	334121	708143	74162.4	18476.6	3781.7	75	3.1279e+06	997705	776380	110635	169274	2093.97	150	63299.3	535040	27675.7	29730.3	1.60675e+06	556026	30928.9	100	2932.79	58004.7	351843	366383	104010	2.28534e+06	426060	50	235559	151156	1.72687e+06	209563	49482.5	6124.25	18278	88111.2	203678	143097	99919.9	6688.51	50	50	50	54164.2	61653	74179.6	62761.9	24372.1	50	100	50	21441.7	34168.3	64916	50	310457	50	30963.3	5763.15	25049	888509	17223.8	150	100	6376.5	100	290319	69877.4	50	50	50	1.63453e+06	90798.4	82479.8	1.12673e+06	50	1.1753e+06	50	75	100	100	16019	100	7408.01	
Random17	7280.73	17631.3	720300	4662.13	50	1.8423e+06	50	50	23492.1	18320	1.11089e+06	2.06329e+06	20750.4	14901.8	1339.77	36252.1	90080.5	44110.7	100	860114	664225	15702.9	155299	8106.17	9583.37	85072.2	407571	81021.6	84155.2	83620.5	134018	50	12769.4	188265	33944.4	2470.08	245698	731551	440431	79805.5	60175	9736.54	317865	776712	169747	6512.01	384.221	13746.9	38182.3	565308	136210	720400	175515	4842.21	44712.3	104684	100	24909.6	1502.85	77174.8	82142	311900	328766	4070.62	49926.9	1.26445e+06	4776.13	296462	75	319515	50	24357.8	358656	239155	108534	94063.4	32398.1	12339.5	79721.7	168735	216604	99251.8	6001.13	50	50	50	6662.08	7027	18370	75	217473	1.11049e+06	100	50	100141	20813.9	106012	50	215221	50	6135.59	435466	93137.5	100	11480.1	183252	100	2873.16	238958	220679	49115.8	50	50	50	1.02474e+06	34697.7	136453	1.22595e+06	211354	60171.3	50	75	100	133088	95768.1	100	100	
Random18	84677.2	179275	50	65458.5	50	74831.4	50	50	124756	52491.7	101712	62578	251366	783109	233511	12981.7	242556	125938	100	115876	92544.2	285882	2379.57	12580.8	32480.9	2861.37	1.35251e+06	147143	51826.8	6922.06	208575	308922	19204.5	10530.9	10833.4	5888.57	173077	146723	62052.8	59152	74739.6	130744	329696	330588	307594	226479	56633.3	494581	507595	290397	743730	134969	713040	6996.16	776.5	515.5	170.333	3.75176e+06	62646.9	993465	241681	117277	102300	13780.9	268585	564644	986.571	43775.1	75	564750	50222.1	117893	150995	223212	895017	278351	28345	531913	25633.2	28893.5	876281	1.09812e+06	200	50	50	50	11204.9	14428	65241.3	75	115189	50	663998	50	309502	125	382802	50	93463.3	50	195663	9645.83	7372.4	449954	100	3046.26	100	4274.14	100	76235.4	18009.3	50	50	185978	86193.4	15586.2	50379.8	1.28926e+06	50	150	50	75	100	547136	59402.8	100	100	
Random19	10419.8	7982.99	82144.6	17222.9	50	7730	50	50	42623	15008.5	5.25309e+06	26271.4	9458.74	105474	25146.1	54167.3	41796.8	20649.4	100	16050.2	24018.7	15208.8	126991	9858.47	15549.5	13088.5	502398	193537	74974.5	1.67493e+06	181713	50	17963.3	72991.7	248347	38784.7	294648	252489	203605	2.50692e+06	9604.33	20528.7	112308	103774	156889	130885	9444.45	75	48367.1	41457.6	94131.8	119550	190927	19368.1	150	19317	11293.3	41817.9	6333.03	130069	539218	421430	432300	848147	12007	581212	588342	160279	75	115601	50	327905	377237	461966	44903.2	8771.51	90571.6	150340	18338.7	2.04449e+06	71076.8	44069.9	556270	50	50	50	459.614	2560	25062.5	19930.5	40283.3	55006	100	50	150	11058.9	34921.7	50	172841	50	10217.4	46641.5	31739.4	151415	9433.89	150	100	19417.3	100	138364	30830.3	50	50	50	2.98329e+06	36916.6	10026.2	249745	50	52947	50	75	100	2.141e+06	245251	100	266976	
