Run	ABI1	AKT1	APPL1	ARAF	BCAR1	CAMK2A	CAV1	CAV2	CBL	CBLB	CDC42	CREB1	CRK	CSK	DNM1	DUSP1	EGF	EGFR	ELK1	EPN1	EPS15	EPS8	FOS	GAB1	GAB2	GJA1	GRB2	HRAS	JAK2	JUN	KRAS	KRT8	MAP2K1	MAP2K2	MAP2K3	MAP2K5	MAPK1	MAPK14	MAPK3	MAPK8	NCK1	PAK1	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PLCG1	PRKCZ	PTK2B	PTPN11	PTPN6	RAB5A	RAC1	RAF1	RALB	RALBP1	RALGDS	SHC1	SOS1	SRC	VAV1	VAV2	VAV3	YWHAB	PDPK1	RHOA	MAP2K4	MAP2K6	P53	ERBB2	LIMK1	MAP2K7	MAP3K1	MAP3K4	NRAS	PIK3CG	PLD1	PLD2	RPS6KA3	MAP3K11	ERBB3	ERBB4	BRAF	CASP9	FOXO1A	GRB10	BAD	SMAD2	SH3KBP1	SPRY2	ARHGEF7	TNK2	SH3GL2	ERRFI1	PIK3R2	PLCG2	RASA1	RGS16	STAT1	STAT5B	USP6NL	MAPK7	PRKCG	SOS2	RIN1	STAT5A	KSR1	MAP3K2	MYC	PTPN5	PTPRR	RPS6KA1	SMAD3	SP1	DUSP4	DUSP6	WASL	PIK3R3	PXN	RALA	STAT3	PRKCE	GRB7	ARHGAP3	PRKCA	PRKCB1	PRKCI
Random137	4.49829e+06	1.0164e+09	0	8.16521e+07	0	0	0	0	5.96059e+09	625	0	0	9.19318e+09	0	2.2573e+07	2.73213e+09	0	2.44122e+10	0	0	1.16913e+12	1.08997e+09	1.49545e+08	2.0226e+09	600	7.41863e+09	2.14798e+11	0	1.32535e+09	1.25654e+07	0	0	3.71464e+08	1.08691e+09	1.8759e+09	0	3.66662e+10	1.23746e+09	4.37014e+10	1.73482e+09	2.49671e+08	2.76029e+09	0	0	0	1.68749e+10	3.712e+08	2.231e+08	3.85688e+09	2.38698e+09	5.64093e+09	0	1.58363e+10	4.35367e+07	0	0	-1.81899e-12	1.37221e+10	3.7535e+07	1.81394e+10	1.58445e+09	8.95477e+09	0	0	7.61584e+09	0	1.72355e+09	9.34345e+08	2.03835e+08	6.75202e+08	0	-4.54747e-13	0	0	0	-3.63798e-12	2.65915e+08	0	4.96097e+07	1.61704e+09	1.36847e+09	1.57138e+09	8.16521e+07	0	0	0	8.23701e+07	-6.10352e-05	625	625	2.65214e+09	0	0	0	5.8568e+10	1.42182e+09	1.18789e+10	0	0	0	1.28943e+09	0	0	0	1.47725e+09	0	0	2.5023e+08	0	1.90487e+10	1.88066e+09	0	0	0	1.90487e+10	3.36953e+09	0	4.52508e+10	0	0	0	625	0	0	0	0	0	
Random138	1.33071e+08	3.39093e+11	0	1.44877e+07	0	0	0	0	3.65946e+09	625	0	0	1.19516e+09	0	1.36795e+09	6.91358e+10	0	5.80975e+09	0	0	4.00457e+07	7.93569e+09	74569.6	2.9957e+08	9.66791e+10	1.20725e+10	5.18958e+11	0	2.7394e+07	184528	0	0	1.48328e+09	6.91364e+09	6.40528e+10	0	1.68601e+11	1.62622e+12	2.49543e+11	3.97632e+10	2.64792e+10	1.45595e+09	0	0	0	9.61024e+08	6.34921e+10	625	4.4771e+09	4.92589e+11	3.53508e+09	0	3.3486e+11	4.64741e+07	0	0	69813.4	4.1105e+09	2.51007e+09	3.05496e+10	8.79576e+10	5.36623e+10	0	0	3.27821e+10	0	8.75549e+08	2.11732e+11	625	9.01324e+09	0	1.97794e+08	0	0	0	1.01024e+06	6.68547e+08	0	2.94997e+08	5.66911e+12	2.21771e+09	7.83409e+09	3.12682e+07	0	0	0	5.90112e+07	-0.00195312	625	625	9.5763e+10	0	0	0	3.01777e+08	1.20396e+09	5.6026e+10	0	0	-2.86102e-06	9.15709e+09	0	0	0	1.3944e+09	0	0	5.00565e+07	0	1.24766e+11	1.70671e+10	0	0	0	8.2897e+11	1.107e+10	0	2.91869e+08	0	0	0	625	0	0	0	0	0	
Random139	2.09877e+08	4.57496e+08	0	7.80082e+07	0	0	0	0	5.63388e+10	625	0	0	5.63347e+08	0	8.38942e+08	8.87576e+10	0	2.79526e+09	0	0	8.45058e+06	3.25146e+08	10928.1	2.65283e+08	600	5.16453e+07	1.23548e+10	0	2.6851e+09	30862.3	0	0	2.65216e+09	1.14029e+10	3.76711e+09	0	3.07862e+11	1.18101e+11	1.1689e+11	2.76743e+11	7.81071e+08	2.76042e+08	0	0	0	1.7662e+10	6.52533e+08	7.87479e+07	5.02601e+09	1.88656e+10	2.38068e+09	0	5.0507e+09	9.79358e+07	0	0	7.05439e+06	2.37767e+09	1.83415e+07	6.01476e+09	625	1.73741e+09	0	0	2.35934e+09	0	7.74596e+11	5.26973e+07	625	6.22606e+08	0	3.51782e+10	0	0	0	-3.63798e-12	5.71824e+10	0	3.49112e+08	1.04675e+09	3.3848e+08	2.15177e+09	4.50319e+08	0	0	0	2.68392e+08	1.49012e-08	0	1.3581e+09	2.16203e+09	0	0	0	4.16394e+08	5.28498e+08	1.12536e+10	0	0	0	0	0	0	0	2.65167e+10	0	0	2.06684e+11	0	2.32701e+11	2.34044e+10	0	0	0	5.52154e+11	2.16911e+07	0	3.99193e+08	0	0	0	2.00647e+06	0	0	0	0	0	
Random140	6.60168e+06	1.15949e+08	0	6.67813e+09	0	0	0	0	2.93193e+08	9.53674e-07	0	0	3.55531e+07	0	2.38206e+09	5.33505e+09	0	1.09241e+08	0	0	1.34183e+08	6.94215e+10	317198	1.85364e+08	600	7.44245e+06	1.69864e+10	0	2.23331e+08	748408	0	0	2.39441e+09	7.36494e+09	3.38863e+09	0	2.41341e+10	9.49948e+10	9.68542e+09	2.37485e+11	20057.8	3.39026e+07	0	0	0	4.14715e+09	2.52302e+08	7.75066e+06	7.64308e+08	4.24757e+08	9.3772e+07	0	9.7442e+09	9.83125e+07	0	0	0	4.21166e+09	9.22895e+07	2.41186e+09	1.36215e+10	1.43861e+09	0	0	2.16387e+08	0	1.6341e+11	2.95191e+09	625	5.74207e+08	0	0	0	0	0	6.04824e+07	1.08183e+08	0	5.94079e+07	2.79298e+10	3.19101e+08	4.98766e+09	2.1486e+09	0	0	0	8.73383e+06	0	0	625	2500	0	0	0	7.52567e+08	0	3.38916e+08	0	0	0	7.99943e+10	0	0	0	1.10614e+11	0	0	2.70513e+10	0	1.38315e+11	1.38436e+10	0	0	0	1.8896e+11	2.78978e+10	0	5.81393e+08	0	0	0	3.33884e+06	0	0	0	0	0	
Random141	5.34844e+08	1.42044e+10	0	4.18673e+07	0	0	0	0	2.33122e+08	625	0	0	2.33411e+07	0	546417	2.60848e+09	0	1.70202e+08	0	0	5.16774e+09	5.4722e+09	1.25798e+07	1.10112e+07	4.16787e+09	4.27921e+10	2.86265e+10	0	4.48468e+08	2.85239e+07	0	0	9.51039e+07	7.45282e+08	4.0352e+09	0	8.86818e+09	1.85866e+11	1.08834e+10	4.18729e+09	6.80549e+07	3.34759e+07	0	0	0	6.54391e+06	3.66887e+06	1.91808e+09	7.25706e+08	1.46597e+10	3.24662e+08	0	1.81474e+08	9.14775e+07	0	0	422434	2.42962e+08	9.83106e+07	2.57734e+09	625	2.57211e+07	0	0	1.80702e+09	0	3.26024e+10	7.56668e+09	625	1.49484e+09	0	0	0	0	0	1.9138e+08	4.96595e+09	0	2.43738e+07	1.14713e+09	8.38873e+08	1.34657e+09	2.79838e+09	0	0	0	468.75	0	625	2424.31	1.24896e+08	0	0	0	3.35741e+06	2.77287e+07	2.88353e+09	0	0	0	1.16654e+09	0	0	0	2.82403e+09	0	0	4.73569e+11	0	8.8837e+09	1.1371e+09	0	0	0	6.80263e+10	1.72088e+09	0	597435	0	0	0	172848	0	0	0	0	0	
Random142	4.80049e+10	4.40788e+06	0	1.1922e+09	0	0	0	0	2.1595e+09	0	0	0	4.18161e+07	0	52900	4.78285e+11	0	1.23142e+08	0	0	2.09643e+07	6.59278e+09	40078.2	3.19948e+08	600	634088	2.67869e+10	0	9.5377e+07	102403	0	0	1.79784e+10	6.66104e+10	1.66352e+09	0	1.68284e+11	6.66351e+10	1.12441e+12	1.27693e+11	6.4144e+08	1.07737e+08	0	0	0	4.61362e+09	1.73565e+10	5.70403e+07	2.01223e+09	6.81291e+08	3.00415e+09	0	1.41083e+07	8.70056e+09	0	0	4.21657e+09	1.08559e+09	7.47345e+09	1.22756e+10	1.17032e+08	2.71942e+09	0	0	3.50003e+11	0	5.15342e+10	1.64029e+09	1.19209e-07	1.09802e+09	0	4.54747e-13	0	0	0	3.63798e-12	4.26181e+09	0	3.95726e+10	2.00374e+09	2.9189e+09	5.63756e+09	5.25909e+08	0	9.09495e-13	0	468.75	0	0	3.43932e+08	9.48864e+08	0	0	0	1.6715e+10	1.00328e+08	9.79199e+09	0	0	0	1.16498e+08	0	0	0	2.41618e+06	0	0	2.53301e+09	0	1.46243e+12	1.47319e+11	0	0	0	1.46243e+12	4.04137e+09	0	2.3278e+09	0	0	0	7.78145e+07	0	0	0	0	0	
Random143	2.6771e+08	4.53778e+09	0	3.84883e+08	0	0	0	0	1.04983e+10	625	0	0	1.0373e+08	0	3.23811e+09	3.71075e+09	0	6.87727e+08	0	0	1.54974e+09	9.96675e+09	78577.7	1.02143e+10	600	4.17681e+08	3.92473e+10	0	2.38595e+07	193995	0	0	1.84789e+09	4.23976e+09	3.53636e+08	0	5.32123e+10	1.61427e+09	5.57853e+10	2.01189e+09	1.12837e+10	3.30078e+07	0	0	0	3.73379e+11	9.2233e+10	2.22376e+10	2.38778e+10	8.92324e+10	1.86215e+11	0	3.07646e+10	5.03862e+08	0	0	0	1.9115e+11	3.71069e+09	5.89391e+10	625	3.04832e+11	0	0	1.30918e+11	0	1.23418e+09	8.27207e+08	625	1.99314e+11	0	1.62981e+09	0	0	0	9.91104e+09	7.83122e+07	0	1.10167e+10	6.84105e+08	1.77065e+09	2.63997e+12	5.38501e+07	0	0	0	468.75	0	625	1.65765e+09	2.20406e+09	0	0	0	2.17731e+11	-0.000488281	1.2323e+11	0	0	0	4.85754e+08	0	0	0	2500	0	0	3.24548e+08	0	1.81776e+10	1.79573e+09	0	0	0	1.81776e+10	5.89478e+09	0	2.19308e+11	0	0	0	625	0	0	0	0	0	
Random144	9.51502e+07	6.28808e+09	0	625	0	0	0	0	3.25911e+09	625	0	0	2.90211e+09	0	3.58322e+08	5.47979e+11	0	2.16323e+09	0	0	8.19705e+07	1.47301e+09	2.28381e+08	1.45548e+08	600	7.39292e+06	1.29345e+10	0	7.91338e+07	5.14793e+08	0	0	6.62957e+10	2.28612e+11	5.44915e+08	0	8.82677e+10	1.49651e+10	1.03128e+12	4.31118e+10	4.71304e+08	7.0192e+07	0	0	0	1.31739e+09	2.25875e+08	625	6.02768e+09	5.31281e+08	4.83794e+10	0	5.53829e+11	2.39905e+09	0	0	1.86342e+08	2.51658e+09	2.43693e+08	9.57943e+09	625	9.79855e+08	0	0	5.73868e+10	0	2.60251e+11	5.27721e+08	625	1.89327e+10	0	2.60251e+11	0	0	0	1.55613e+08	2.98687e+09	0	4.07122e+09	1.17562e+09	4.29283e+09	9.9195e+09	2.78514e+06	0	0	0	468.75	-4.76837e-07	625	625	5.55136e+07	0	0	0	4.74112e+09	3.05176e-05	2.01551e+09	0	0	0	8.95231e+09	0	0	0	7.71696e+09	0	0	2.80339e+06	0	2.85727e+11	2.90225e+10	0	0	0	2.85727e+11	2.45138e+09	0	7.61297e+08	0	0	0	1.03851e+10	0	0	0	0	0	
Random145	1.49622e+09	5.03653e+09	0	625	0	0	0	0	9.53329e+09	625	0	0	9.91625e+09	0	1.70605e+08	2.73356e+09	0	2.59193e+10	0	0	1.27074e+08	2.7621e+09	4.63156e+07	1.13393e+09	3.18758e+09	8.54441e+07	1.60167e+10	0	1.78492e+08	1.04631e+08	0	0	1.07567e+09	5.13437e+08	6.84242e+06	0	4.08275e+09	2.74493e+10	4.27878e+09	1.67886e+09	2.86378e+08	1.19412e+10	0	0	0	1.69625e+09	2.07429e+09	3.32185e+09	1.10849e+10	1.99209e+09	5.70901e+09	0	2.52711e+10	2.48433e+08	0	0	0	1.57179e+10	2.63399e+08	6.7146e+10	1.2776e+07	2.8474e+08	0	0	4.83026e+09	0	1.30091e+09	4.20703e+09	625	7.73049e+09	0	1.44045e+08	0	0	0	1.45984e+08	3.07008e+07	0	1.34054e+09	9.76587e+10	2.38005e+08	3.93289e+10	2.16273e+07	0	0	0	2.22703e+09	0	625	625	1.79896e+07	0	0	0	2.01926e+09	9.90852e+09	1.39793e+10	0	0	0	0	0	0	0	7.12772e+06	0	0	8.79572e+07	0	1.02223e+10	1.43942e+09	0	0	0	2.38749e+10	3.4871e+09	0	2.86966e+09	0	0	0	1.76604e+08	0	0	0	0	0	
Random146	3.76618e+06	1.34859e+09	0	2.9224e+08	0	0	0	0	1.92013e+09	0	0	0	1.13196e+07	0	3.90529e+08	1.66032e+10	0	6.34128e+07	0	0	3.49828e+07	5.58088e+07	364775	3.21506e+06	600	1.22216e+08	1.90115e+10	0	3.89239e+08	857977	0	0	3.54373e+08	7.38942e+08	7.35991e+07	0	2.74051e+11	9.67828e+08	2.89308e+11	2.696e+09	6.04005e+08	3.15169e+10	0	0	0	2.9583e+08	1.37059e+08	5.62378e+07	2.89116e+09	3.4202e+08	6.76099e+09	0	3.23334e+10	5.87364e+10	0	0	0	1.64859e+09	5.36222e+07	2.40274e+09	2.16131e+10	1.1323e+07	0	0	4.31116e+08	0	4.36373e+09	9.41763e+07	625	3.95141e+08	0	3.1777e+09	0	0	0	0	1.78376e+08	0	3.32779e+08	4.99793e+08	1.46886e+09	1.17661e+09	5.11891e+06	0	0	0	468.75	0	0	1.67693e+08	2500	0	0	0	2.11028e+10	1.08668e+07	1.74408e+09	0	0	0	1.97478e+07	0	0	0	6.59632e+06	0	0	2.57042e+08	0	1.43021e+09	4.13751e+11	0	0	0	2.02342e+10	4.24855e+10	0	3.44363e+07	0	0	0	625	0	0	0	0	0	
Random147	1.30187e+11	2.12865e+10	0	4.98158e+08	0	0	0	0	1.1052e+10	0	0	0	2.32537e+08	0	3.12701e+09	1.42265e+10	0	7.49449e+08	0	0	1.09896e+08	1.0805e+11	1480.13	6.02898e+08	1.14208e+07	1.44156e+06	1.38866e+11	0	1.17452e+09	5384.91	0	0	2.16402e+09	8.48106e+09	8.34862e+08	0	4.24593e+11	1.01051e+10	4.44089e+11	1.99612e+10	1.08943e+07	4.94789e+10	0	0	0	1.15462e+09	1.31204e+11	6.53464e+10	2.65917e+10	4.37821e+09	6.38234e+10	0	6.9292e+10	1.30648e+08	0	0	115777	3.46367e+08	2.61514e+10	9.00199e+10	1.06645e+08	1.61182e+08	0	0	9.76916e+11	0	4.90521e+09	8.72993e+08	625	9.36708e+08	0	4.49079e+07	0	0	0	5.43373e+06	-3.05176e-05	0	7.22813e+11	2.40843e+10	1.84141e+08	2.65057e+09	5.77919e+08	0	0	0	1.32369e+09	0	0	1.15956e+08	2500	0	0	0	3.64557e+07	2.49105e+08	4.0802e+08	0	0	0	1.04683e+09	0	0	0	1.04008e+09	0	0	7.81487e+07	0	1.37902e+11	1.55237e+10	0	0	0	1.37902e+11	3.9896e+10	0	3.16268e+07	0	0	0	2.67568e+08	0	0	0	0	0	
Random148	6.20267e+10	4.22415e+09	0	2.18305e+10	0	0	0	0	3.71086e+11	625	0	0	1.65836e+09	0	2.22924e+10	4.9006e+11	0	5.42907e+09	0	0	3.68436e+09	8.02643e+10	219071	4.52024e+08	2.13429e+09	1.05828e+13	2.08769e+11	0	3.46634e+09	521731	0	0	5.48202e+10	9.75585e+10	8.75257e+09	0	8.87254e+10	1.37626e+11	1.32716e+13	5.78868e+10	4.0018e+08	9.42425e+09	0	0	0	3.77422e+09	2.52769e+09	5.74476e+08	5.86285e+11	1.55027e+11	2.465e+12	0	8.5819e+10	1.37022e+10	0	0	1.22326e+06	7.34027e+09	2.74837e+09	1.22633e+13	8.93299e+09	5.04145e+10	0	0	1.39892e+09	0	6.51975e+08	9.83782e+09	625	6.35961e+10	0	7.7668e+08	0	0	0	4.05649e+08	2.54863e+11	0	1.39439e+09	2.18546e+11	1.26061e+10	5.5545e+10	1.77172e+10	0	0	0	468.75	0	0	2.12666e+10	1.13552e+09	0	0	0	2.00895e+09	1.70754e+09	8.34515e+09	0	0	0	9.09274e+06	0	0	0	3.1741e+07	0	0	1.9125e+07	0	1.16895e+12	1.16353e+11	0	0	0	1.16895e+12	1.96067e+09	0	5.20823e+09	0	0	0	625	0	0	0	0	0	
Random149	92240.4	1.33804e+11	0	625	0	0	0	0	6.49281e+10	0	0	0	2.65717e+10	0	3.83717e+08	1.71443e+09	0	1.95735e+09	0	0	6.71531e+06	615802	288677	5.29797e+09	600	2.38362e+07	2.64608e+10	0	4.50651e+09	682631	0	0	4897.96	1.93458e+10	2.59019e+08	0	3.4511e+10	1.59043e+09	2.1084e+10	9.53569e+07	6.18751e+07	1.33653e+09	0	0	0	2.31507e+08	2.22529e+08	625	1.37715e+11	1.36301e+10	3.81845e+11	0	1.3421e+10	2.37616e+09	0	0	2.01219e+08	1.49899e+10	8.98401e+06	6.86501e+10	625	4.73821e+08	0	0	2.40538e+10	0	1.94649e+07	6.00531e+08	625	5.07509e+09	0	2.2448e+07	0	0	0	2.30875e+08	5.58577e+07	0	1.93529e+07	1.35067e+10	1.18981e+09	5.35187e+09	2.70764e+07	0	0	0	468.75	-1.86265e-09	6.10352e-05	4.27538e+08	1.44597e+10	0	0	0	8.12385e+08	2.07275e+10	1.25441e+10	0	0	0	513223	0	0	0	4.69273e+12	0	0	612567	0	2500	2222.22	0	0	0	1.64175e+09	6.20093e+09	0	8.60197e+08	0	0	0	625	0	0	0	0	0	
Random150	1.14901e+08	3.07731e+09	0	3.0228e+07	0	0	0	0	1.91521e+09	1.16415e-10	0	0	8.45893e+07	0	3.62272e+08	1.94124e+09	0	1.20335e+09	0	0	6.66952e+07	1.41741e+08	835880	6.66986e+07	4.01384e+09	1.18572e+07	5.34852e+10	0	1.15661e+08	1.93717e+06	0	0	2.60221e+09	2.84818e+09	5.41443e+09	0	1.47779e+11	1.00408e+11	5.47559e+09	5.81232e+09	1.43244e+08	1.62641e+09	0	0	0	1.43969e+09	2.86467e+09	625	4.64491e+09	4.08314e+10	4.23877e+09	0	1.17744e+10	5.14524e+08	0	0	5.09040e+07	1.58773e+09	1.02427e+08	9.19735e+09	1.81526e+08	2.24455e+09	0	0	6.42229e+11	0	9.09591e+09	1.11687e+10	625	2.39754e+10	0	0	0	0	0	6.8994e+07	4.00824e+10	0	1.53105e+09	1.46311e+11	6.00006e+09	9.87988e+09	4.28912e+08	0	4.76837e-07	0	2.56993e+08	3.05176e-05	-2.98023e-08	2.3379e+07	5.06073e+06	0	0	0	9.95782e+08	9.05194e+07	2.4783e+09	0	0	0	0	0	0	0	2500	0	0	3.35415e+10	0	3.93497e+10	3.95064e+09	0	1.52588e-05	0	1.13399e+11	1.0231e+10	0	1.25378e+09	0	0	0	2.93175e+11	0	0	0	0	0	
Random151	1.34651e+09	2.90483e+09	0	8.54568e+08	0	0	0	0	1.18113e+10	0	0	0	1.93226e+10	0	1.16144e+06	4.8222e+09	0	8.95218e+09	0	0	4.85562e+09	5.97284e+10	2.80714e+07	6.19058e+08	600	6.73416e+08	5.4276e+10	0	2.84758e+08	6.34883e+07	0	0	3.27784e+08	6.74677e+09	4.03642e+07	0	2.10042e+10	1.63299e+09	2.10042e+10	3.35354e+09	3.75915e+08	5.10045e+10	0	0	0	2.83344e+08	6.30708e+09	625	6.40714e+09	4.69909e+08	1.09984e+10	0	1.38731e+11	1.20158e+08	0	0	0	7.08552e+09	3.27909e+09	6.50794e+10	625	5.22978e+07	0	0	6.56514e+10	0	1.66774e+09	4.19487e+07	625	6.04699e+08	0	0	0	0	0	0	3.24636e+09	0	1.64293e+10	1.25121e+08	1.05463e+09	3.26939e+09	1.86157e+09	0	0	0	468.75	9.53674e-07	-0.000488281	625	2500	0	0	0	1.29129e+10	4.38899e+09	7.13633e+09	0	0	0	1.34268e+10	0	0	0	2500	0	0	1.09356e+09	0	8.97687e+09	9.11395e+08	0	0	0	8.97687e+09	1.26311e+09	0	3.13172e+08	0	0	0	3.15803e+10	0	0	0	0	0	
Random152	4.41923e+06	3.68845e+07	0	625	0	0	0	0	7.31965e+09	625	0	0	4.57369e+10	0	4.63696e+08	6.59763e+08	0	6.00794e+09	0	0	2.88766e+07	2.48274e+09	66801.5	4.93017e+09	1.13192e+08	3.85142e+08	1.01572e+11	0	3.43761e+08	166144	0	0	3.40148e+08	1.6468e+09	3.93496e+08	0	3.63445e+10	8.02999e+09	1.10238e+09	2.54133e+09	2.81898e+09	5.00928e+07	0	0	0	1.14038e+08	2.00336e+08	625	5.52864e+09	3.79999e+10	4.02151e+09	0	2.36778e+09	6.00784e+07	0	0	8.79528e+07	1.0341e+11	6.06335e+06	2.34233e+10	6.27543e+07	2.43491e+10	0	0	1.81764e+07	0	9.32849e+08	1.43847e+09	625	1.03395e+10	0	3.46758e+09	0	0	0	0	3.42986e+08	0	1.17159e+06	2.92216e+10	2.96226e+09	5.38118e+09	8.29899e+08	0	0	0	853.445	0	625	625	5.86666e+07	0	0	0	4.46581e+08	4.5916e+10	4.27553e+10	0	0	0	1.27281e+08	0	0	0	2.80578e+06	0	0	7.07749e+09	0	8.65091e+09	9.07821e+08	0	0	0	8.65091e+09	2.39524e+09	0	3.31763e+07	0	0	0	491752	0	0	0	0	0	
Random153	529670	1.08672e+10	0	2.7964e+07	0	0	0	0	3.23208e+09	625	0	0	1.41906e+08	0	4.02153e+09	2.19426e+10	0	6.41452e+08	0	0	7.44502e+09	812920	1.99719e+07	2.41544e+08	2.89003e+09	7.10881e+06	6.31853e+10	0	2.25948e+10	4.52132e+07	0	0	1.63984e+09	7.07747e+09	3.47717e+09	0	2.79123e+11	2.31825e+10	7.55056e+09	1.44448e+10	1.65899e+09	3.90908e+10	0	0	0	1.40439e+09	1.42844e+09	625	1.00998e+10	1.47976e+10	1.50093e+10	0	1.23382e+11	4.93198e+10	0	0	7.50785e+07	5.14152e+09	1.72211e+08	2.99179e+10	5.33735e+09	4.3215e+08	0	0	6.61037e+08	0	1.86071e+10	1.2477e+10	625	1.88669e+09	0	1.42348e+09	0	0	0	2.5339e+08	1.84185e+07	0	1.3485e+08	4.42989e+10	2.87776e+08	2.30631e+09	3.75392e+07	0	0	0	468.75	0	625	625	2.98599e+07	0	0	0	3.71613e+08	6.20951e+08	9.3105e+09	0	0	0	150310	0	0	0	5.20087e+07	0	0	6.81167e+08	0	1.48852e+11	1.47099e+10	0	0	0	1.48852e+11	4.88596e+10	0	7.16496e+07	0	0	0	625	0	0	0	0	0	
Random154	7.16299e+09	2.98818e+08	0	5.33912e+06	0	0	0	0	1.10514e+10	625	0	0	7.47174e+08	0	4.12296e+10	1.71302e+08	0	1.72513e+09	0	0	3.11141e+10	1.0617e+10	85588.8	1.98538e+08	600	5.50636e+09	9.70607e+09	0	6971.06	210528	0	0	3.94118e+07	2.35679e+08	1.59265e+09	0	7.17006e+09	2.58725e+09	7.26412e+09	4.60334e+08	2.19335e+09	3.71164e+08	0	0	0	1.833e+08	5.8304e+07	625	3.05409e+09	2.99336e+08	6.29307e+09	0	1.91873e+09	3.77912e+06	0	0	7.46846e+07	1.61667e+09	4.28998e+08	2.11944e+10	5.89713e+08	1.87212e+08	0	0	1.81992e+10	0	5.26407e+09	2.22143e+08	625	1.38798e+08	0	0	0	0	0	7.19846e+08	8.43397e+08	0	3.42636e+08	4.01743e+09	1.21219e+07	6.29225e+08	1.02321e+08	0	0	0	8.60604e+07	0	625	408474	1.04689e+11	0	0	0	4.49403e+07	0	1.6916e+10	0	0	0	2.45856e+08	0	0	0	2.58536e+08	0	0	1.47573e+09	0	3.92738e+09	6.36346e+08	0	0	0	3.92738e+09	7.7599e+08	0	1.13523e+08	0	0	0	1.97836e+09	0	0	0	0	0	
Random155	9.11605e+09	5.79824e+09	0	2.85169e+07	0	0	0	0	5.12878e+09	625	0	0	1.71819e+08	0	1.51934e+10	3.54625e+10	0	1.31007e+08	0	0	1.87441e+07	2.46448e+10	1.68624e+10	2.26499e+07	2.50606e+09	1.03113e+09	1.09817e+10	0	1.43507e+08	2.46047e+10	0	0	1.37596e+08	1.28382e+08	3.97527e+08	0	6.16429e+11	1.14779e+10	6.76355e+11	1.9976e+10	4.97496e+09	1.18379e+10	0	0	0	3.02736e+08	1.81608e+08	1.21343e+07	2.38073e+09	2.43325e+10	3.20249e+10	0	7.78099e+09	6.07137e+07	0	0	3.07944e+06	2.11765e+09	6.56147e+08	1.49687e+10	6.6734e+07	6.27708e+08	0	0	2.40815e+09	0	1.32401e+10	3.82532e+08	4.29587e+09	5.39823e+08	0	1.90017e+08	0	0	0	1.03931e+07	2.79687e+08	0	1.32338e+08	7.16489e+07	4.1829e+08	1.5089e+08	200480	0	0	0	4.61496e+08	0	-2.98023e-08	2.38907e+08	3.42906e+07	0	0	0	2.36246e+07	4.58652e+07	4.12137e+09	0	0	0	1.01222e+10	0	0	0	2.28248e+09	0	0	7.82954e+09	0	2500	8.80529e+11	0	0	-4.54747e-13	1.76758e+10	1.10047e+11	0	3.52791e+08	0	0	0	625	0	0	0	0	0	
Random156	5.11472e+06	2.432e+11	0	1.34188e+07	5.96046e-08	0	0	0	2.27879e+09	625	0	0	3.85456e+07	0	8.46261e+09	5.30601e+08	0	8.84235e+07	0	0	2.41805e+10	1.93109e+09	666742	3.09643e+06	600	8.38065e+06	7.372e+09	0	3.0871e+09	1.55056e+06	0	0	5.94736e+07	7.18654e+08	2.6684e+08	0	6.94095e+09	6.22293e+09	6.94095e+09	3.72706e+08	2.0613e+07	4.78611e+07	0	0	0	3.18248e+08	9.95754e+07	625	4.66107e+09	1.9965e+09	7.36156e+09	0	1.62869e+12	8.22019e+07	0	0	2.52725e+07	9.90336e+07	1.34203e+07	1.2172e+10	1.7448e+10	1.18404e+10	0	0	4.41015e+10	0	1.92792e+08	3.01198e+08	625	1.66911e+08	0	496731	0	0	0	0	791111	0	6.44102e+07	2.83335e+07	6.99021e+07	2.23109e+08	3.80508e+09	0	0	0	468.75	0	625	1.22235e+09	1.39082e+10	0	0	0	9.62076e+08	2.34679e+07	2.50454e+08	0	0	0	2.56817e+09	0	0	0	1.89621e+10	0	0	3.73847e+07	0	5.76811e+09	1.07563e+09	0	0	0	5.76811e+09	2.16764e+09	0	1.26436e+08	0	0	0	7.09933e+09	0	0	0	0	0	
