Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Random174	8396.24	8045.28	3690.38	8868.64
Random175	8896.57	8752.19	3005.26	7169.77
Random176	13823.2	13332	5120.87	9265.23
Random177	9869.09	9716.83	2312.4	7268.5
Random178	7552.39	7320.62	2634.85	7157.11
Random179	8736.84	8519.01	3093.25	7180.75
Random180	4263.93	4080.54	1674.67	5888.67
Random181	15942.6	15641.3	6685.6	11464.1
Random182	9497.67	9052.54	4107.68	9611.55
Random183	8135.02	7982.06	2918.29	6438.13
Random184	6610.84	6385.72	2309.57	6229.54
Random185	11401.1	11284.6	2705.43	7080.94
Random186	8535.21	8321.79	2337.39	7444.03
Random187	6742.6	6589.38	2383.78	7957.3
Random188	9288.89	9100.75	2616.08	6126.47
Random189	3306.62	3143.83	1434.87	5782.79
Random190	9966.39	9629.54	3607.86	8213.93
Random191	10866.7	10565.5	4005.71	8974.75
Random192	10367.4	10163.6	3691.71	8013.29
Random193	8307.45	8175.23	2447.87	7326.24
Random194	5685.55	5524.68	2030.77	6226.84
Random195	7931.14	7661.53	3369.2	8026.44
Random196	8377.82	8233.73	2903.98	7457.07
Random197	7292.71	6994.01	2747.23	7125.6
Random198	9089.03	8807.77	3225.97	7273.14
Random199	7427.84	7108.85	2936.77	7119.86
Random200	8407.98	8165.17	2800.02	6729.72
Random201	8662.18	8490.76	2608.69	6903.74
Random202	8417.68	8153.59	3294.77	7475.33
Random203	6161.31	5964.4	2294.29	6237.21
Random204	8603.63	8343.14	2964.07	8672.07
Random205	8552.66	8423.44	2970.33	8294.61
Random206	4993.96	4714.53	2062.14	6598.84
Random207	9162.21	8854.13	3253.66	8256.61
Random208	6509.94	6309.2	2282.81	8293.28
Random209	7688.3	7453.32	2442.05	7157.74
Random210	10619.4	10353	3912.74	6844.74
Random211	7149.43	7050.84	2648.82	6459.5
Random212	9374.25	9197.64	3014.7	7298.21
Random213	9371.34	9035.25	3199.49	7121.35
Random214	9709.31	9517.28	3581.5	7853.97
Random215	6346.22	6220.85	2187.63	6657.86
Random216	5964.12	5748.34	2228.22	6929.84
Random217	6396.99	6292.41	1602.62	6545.29
Random218	5272.67	5055.47	2240.93	6247.26
Random219	7981.27	7760.84	3067.54	6610.7
Random220	8880.43	8702.89	2750.99	7265.42
Random221	7892.74	7696.72	2404.69	6599.68
Random222	14584.8	14472.4	4921.65	7664.31
Random223	4632.78	4404.8	2085.89	5562.04
Random224	8311	8098.95	3205.05	7490.82
Random225	8170.53	7895.59	2994.9	8731.79
Random226	6233.32	6025.83	2049.68	6536.77
Random227	10296.8	10103.7	3461.35	6800.08
Random228	8488.13	8296.17	2795.61	7213.67
Random229	9284.71	9030.6	3122.07	7764.54
Random230	10218.7	9969.24	3503.11	7079.08
Random231	9375.26	9000.71	3926.95	8376.01
Random232	6470.88	6220.55	2554.16	5313.61
Random233	12744.6	12539.1	4318.08	9329.93
Random234	6194.24	6019.86	2143.56	6184.29
Random235	9116.08	8956.97	2270.25	7543.99
Random236	6186.18	5967.85	2389.82	5964.91
Random237	5464.19	5307.03	1883.13	6434.82
Random238	8086.63	7968.74	2610.64	7354.74
Random239	8891.73	8758.09	2679.12	7288.9
Random240	8851.99	8606.92	3127.12	6475.95
Random241	12179.2	11911	4313.63	8938.82
Random242	6158.43	5934.57	2382.47	6467.49
Random243	6216.24	6092.56	1912.94	7432.6
Random244	3898.25	3727.49	1568.73	6360.77
Random245	6206.5	6068.77	1914.58	5838.83
Random246	8586.56	8423.07	2941.33	6544.07
Random247	9555.51	9342.72	3554.51	8280.8
Random248	8596.69	8409.66	2855.37	7516.13
Random249	6637.28	6432.21	2241.12	6279.57
Random250	10223.4	9989.11	3666.1	8463.68
Random251	9148.74	8889.54	3336.08	8957.46
Random252	7604.53	7334.63	2718.9	6788.99
Random253	7999.88	7818.85	2496.67	7209.57
Random254	8400.46	8290.04	2469.97	7339.1
Random255	6662.11	6413.42	2383.1	5997.54
Random256	8239.45	8072.04	2804.65	6971.33
Random257	6769.35	6536.91	2655.74	7267.58
Random258	7602.24	7221.41	2954.58	6845.53
Random259	6478.32	6231.4	2392.24	6403.45
Random260	7102.41	6879.38	2527.71	7430.43
Random261	9322.52	9040.06	3205.63	7733.1
Random262	14214.9	13782.3	5464.79	10543.8
Random263	11060.9	10878.8	3006.98	7470.59
Random264	9301.84	9063.09	2700.27	7722.91
Random265	7176.73	6952.73	2321.79	6943.41
Random266	7688.5	7484.17	2976.92	7724.9
Random267	7539.82	7358.93	2257.92	6610.78
Random268	8963.56	8820.4	2517.93	6631.38
Random269	5806.05	5697.27	2051.58	7466.77
Random270	10662.3	10505	3499.07	6861.44
Random271	6467.34	6240.6	2427.48	6009.23
Random272	5836.56	5708.57	1922.35	6087.3
Random273	12157.1	11824.9	4540.73	7646.88
Random274	10352.3	10001	3678.69	7886.43
Random275	9836.18	9526.4	3668.45	8448.02
Random276	12099.5	11904.2	3975.47	8371.37
Random277	5621.94	5488.67	1912.6	6240.11
Random278	10692.9	10566.3	2836.42	8115.14
Random279	6106.28	5937.46	1973.45	6112.54
Random280	6392.82	6198.5	2299.16	6681.67
Random281	8498.99	8220.95	3215.53	6605.7
Random282	5033.08	4842.78	1750.85	6131.49
Random283	5983.81	5765.17	2218.63	6764.92
Random284	10860.6	10610.6	3887.82	7977.94
Random285	8968.2	8648.23	3442.85	7996.46
Random286	9394.83	9082.35	3982.49	9184.8
Random287	10167.2	9841.39	4026.66	7821.77
Random288	8432.25	8253.7	3047.94	7514.47
Random289	8806.78	8573.36	3310.75	7181.25
Random290	8808.15	8495.76	3161.37	6860.67
Random291	9400.29	9266.75	2900.94	8962.69
Random292	9331.59	9128.2	3896.72	7056.05
Random293	5482.8	5294.35	1867.63	7073.62
Random294	6939.43	6770.29	2545.33	7162.66
Random295	5962.23	5791.8	1744.48	6223.35
Random296	17510.5	17298.9	5775.56	9432.83
Random297	8678.54	8538.88	1994.78	6814.84
Random298	7538.15	7400.12	2788.81	7760.89
Random299	9207.75	9034.28	2734.44	7798.06
Random300	7943.19	7774.07	2533.07	6870.7
Random301	7910.02	7749.23	2345.77	7287.34
Random302	5656.6	5505.52	1835.79	5928.83
Random303	14668.1	14293.4	5481.16	9876.48
Random304	4680.71	4560.55	1526.47	5745.45
Random305	5522.74	5283.75	2490.21	6381.9
Random306	9057.15	8799.72	3415.82	6632.6
Random307	10966	10809.9	3621.63	9154.18
Random308	3924.05	3787.36	1464.08	5444.07
Random309	9085.2	8805.12	3138.88	7299.34
Random310	10510.5	10289.7	4314.61	8405.84
Random311	6513.15	6325.15	2399.69	6417.05
Random312	8035.41	7691.07	3100.59	6967.39
Random313	7108.15	6784.2	2674.55	6692.17
Random314	5455.6	5228.62	2113.13	6566.4
Random315	7816.73	7516.74	3404.4	7735.45
Random316	7416.7	7165.03	2679.03	7624.37
Random317	6788.95	6643.46	2042.97	6239.23
Random318	7697.88	7419.68	2766.31	7051.17
Random319	7195.63	6929.01	2952.87	7617.35
Random320	8816.08	8566.53	3019.56	8693.55
Random321	8399.49	8163.43	2815.28	8170.3
Random322	6976.62	6770.93	2538.54	6983.27
