CopyNumbers	CumulativeDistributionFunction
31150 0.554407358
31250 0.554717371
31350 0.555027385
31450 0.555337398
31550 0.5561641
31650 0.556370776
31750 0.556990803
31850 0.557300816
31950 0.557920843
32050 0.558230857
32150 0.55854087
32250 0.559057559
32350 0.559574248
32450 0.559780924
32550 0.560297613
32650 0.560607626
32750 0.560814302
32850 0.561434329
32950 0.561641004
33050 0.562054356
33150 0.562571045
33250 0.562984396
33350 0.563191072
33450 0.563501085
33550 0.563811098
33650 0.56422445
33750 0.564431125
33850 0.564844477
33950 0.56515449
34050 0.565361166
34150 0.565981193
34250 0.566187868
34350 0.566394544
34450 0.566807895
34550 0.567427922
34650 0.567737935
34750 0.568151287
34850 0.568874651
35050 0.56939134
35150 0.569701354
35250 0.570321381
35350 0.57083807
35450 0.571044745
35550 0.571354759
35650 0.571561434
35750 0.572078123
35850 0.572491475
35950 0.573008164
36050 0.573318177
36150 0.573524853
36250 0.573628191
36350 0.573938204
36450 0.574558231
36550 0.574868244
36650 0.575488271
36750 0.575591609
36850 0.575694947
36950 0.576521649
37050 0.577038338
37150 0.577245014
37250 0.57745169
37350 0.577555027
37450 0.577761703
37550 0.57838173
37650 0.578795081
37750 0.579001757
37950 0.579518446
38050 0.58024181
38150 0.5807585
38250 0.581171851
38350 0.581378526
38450 0.581481864
38550 0.581791878
38650 0.581998553
38750 0.582205229
38850 0.582515242
38950 0.582721918
39050 0.582825256
39150 0.583445283
39250 0.583755296
39350 0.584168647
39450 0.584581999
39550 0.584788674
39650 0.58499535
39750 0.585408701
39850 0.586028728
39950 0.586235404
40050 0.586442079
40150 0.58685543
40250 0.587165444
40350 0.587578795
40450 0.587785471
40550 0.588198822
40650 0.588612173
40750 0.588818849
40850 0.589025524
40950 0.5892322
41050 0.589542213
41150 0.589748889
41250 0.59016224
41350 0.590472254
41450 0.590678929
41550 0.590885605
41650 0.591195618
41750 0.591402294
41850 0.591712308
42150 0.592125659
42250 0.592745686
42350 0.593159037
42450 0.593262375
42550 0.593675726
42650 0.593985739
42750 0.594399091
42850 0.595019117
42950 0.595535807
43050 0.596155833
43250 0.596362509
43350 0.596569185
43450 0.596879198
43550 0.597085874
43650 0.597292549
43750 0.597705901
43850 0.59822259
43950 0.598325927
44050 0.598635941
44150 0.599049292
44250 0.599255968
44450 0.599772657
44550 0.599979332
44650 0.600289346
44750 0.600702697
44850 0.600909373
44950 0.6015294
45050 0.601839413
45150 0.601942751
45250 0.602149426
45350 0.60245944
45550 0.602666116
45650 0.602872791
45750 0.603079467
45850 0.603286142
45950 0.60338948
46050 0.603492818
46150 0.603596156
46250 0.603906169
46350 0.604422858
46450 0.604629534
46550 0.605352899
46650 0.60576625
46850 0.606179601
46950 0.606592952
47050 0.607006304
47150 0.607316317
47250 0.607936344
47450 0.60814302
47550 0.608453033
47650 0.608866384
47750 0.609383073
47850 0.609899762
47950 0.610416451
48050 0.610726465
48150 0.611139816
48250 0.611243154
48350 0.611759843
48450 0.612276532
48550 0.612483208
48650 0.612689883
48750 0.612896559
48850 0.613103234
48950 0.61330991
49050 0.613826599
49150 0.614446626
49250 0.614963315
49350 0.615066653
49450 0.615273329
49750 0.615480004
49850 0.615583342
49950 0.615996693
50050 0.616100031
50150 0.616513382
50250 0.617030071
50350 0.617443423
50450 0.617753436
50550 0.617856774
50650 0.618270125
50750 0.618476801
50850 0.618786814
50950 0.619303503
51050 0.619406841
51150 0.619613517
51250 0.619820192
51350 0.620336881
51450 0.620646895
51550 0.620750233
51650 0.620956908
51850 0.621266922
51950 0.621680273
52050 0.621886948
52150 0.622093624
52250 0.6223003
52550 0.622403637
52650 0.622610313
52750 0.622816989
52850 0.623127002
52950 0.623333678
53050 0.623643691
53150 0.623747029
53250 0.62416038
53350 0.624367056
53450 0.624883745
53550 0.624987083
53650 0.62560711
53750 0.625813785
53850 0.626123799
53950 0.62653715
54050 0.626743826
54150 0.626950501
54250 0.627157177
54350 0.627260515
54450 0.62746719
54550 0.627570528
54650 0.627777204
54750 0.628087217
54850 0.628293893
54950 0.629017257
55050 0.629120595
55250 0.629533946
55350 0.629740622
55450 0.630153973
55550 0.630567325
55650 0.630774
55750 0.630877338
55850 0.631187351
56050 0.631290689
56150 0.631497365
56250 0.631704041
56350 0.632014054
56550 0.632737419
56650 0.633254108
56750 0.633460783
56850 0.633770797
56950 0.634287486
57050 0.634390824
57150 0.634597499
57250 0.634804175
57350 0.635114188
57450 0.635424202
57550 0.635734215
57650 0.635837553
57750 0.635940891
57850 0.636147566
57950 0.636354242
58050 0.636664255
58150 0.636767593
58250 0.636870931
58350 0.637077607
58450 0.637284282
58550 0.637490958
58650 0.637697634
58750 0.637904309
58850 0.63831766
58950 0.638420998
59050 0.638627674
59150 0.638937687
59350 0.639144363
59450 0.639351039
59550 0.639661052
59650 0.639867728
59750 0.640177741
59850 0.640281079
59950 0.640384417
60050 0.64069443
60150 0.641107781
60350 0.641521133
60450 0.642037822
60550 0.642347835
60650 0.642761186
60750 0.642864524
60850 0.6430712
60950 0.643277875
61050 0.643484551
61150 0.643587889
61250 0.643794564
61350 0.644104578
61450 0.644621267
61550 0.644827943
61650 0.64493128
61750 0.645034618
61850 0.645241294
62050 0.645447969
62350 0.645757983
62450 0.646067996
62550 0.646481348
62650 0.646998037
62750 0.647204712
62850 0.647411388
62950 0.647618063
63050 0.647824739
63150 0.647928077
63250 0.648031415
63350 0.648134753
63550 0.648548104
63650 0.648754779
63750 0.648961455
63950 0.649271468
64150 0.649581482
64250 0.649994833
64350 0.650408184
64450 0.65061486
64550 0.650821536
64650 0.651028211
64750 0.6515449
64850 0.651854914
65050 0.652061589
65150 0.652371603
65250 0.652681616
65350 0.652888292
65450 0.653094967
65550 0.653404981
65750 0.653611657
65850 0.654025008
65950 0.654335021
66050 0.65485171
66150 0.655058386
66250 0.655265061
66350 0.655471737
66450 0.655575075
66650 0.655885088
66750 0.656091764
66850 0.656401777
67050 0.656505115
67150 0.656711791
67250 0.656918466
67350 0.657021804
67550 0.65722848
67650 0.657641831
67750 0.657848507
67850 0.658468534
67950 0.658675209
68050 0.658778547
68150 0.659295236
68250 0.659398574
68350 0.659501912
68450 0.659708587
68550 0.659811925
68650 0.660018601
68750 0.660121939
68950 0.660225276
69050 0.660431952
69150 0.660741965
69250 0.661155317
69350 0.661361992
69450 0.661672006
69550 0.662085357
69650 0.66239537
69750 0.663222073
69850 0.663532086
69950 0.663635424
70050 0.663945438
70150 0.664152113
70250 0.664462127
70350 0.66477214
70450 0.665082154
70650 0.665185491
70850 0.665392167
70950 0.66570218
71050 0.666012194
71150 0.666322207
71250 0.666735559
71450 0.667045572
71550 0.667252248
71650 0.667458923
71750 0.667768937
71850 0.667872274
71950 0.668182288
72050 0.668285626
72150 0.668388964
72350 0.668595639
72450 0.668802315
72550 0.669525679
72650 0.669732355
72750 0.670145706
72850 0.670249044
72950 0.670352382
73050 0.67045572
73150 0.670869071
73250 0.670972409
73350 0.671179084
73450 0.671282422
73550 0.671489098
73650 0.671799111
73850 0.672109125
73950 0.6723158
74050 0.672729152
74250 0.673039165
74350 0.673245841
74550 0.673555854
74650 0.674072543
74750 0.674279219
74850 0.674485894
74950 0.674589232
75050 0.67469257
75250 0.674795908
75350 0.675002583
75450 0.675105921
75550 0.675415935
75750 0.67562261
75850 0.675725948
76050 0.675829286
76250 0.675932624
76350 0.676035962
76450 0.676139299
76550 0.676242637
76650 0.676449313
77050 0.676655988
77150 0.676759326
77250 0.677172677
77350 0.677276015
77450 0.677482691
77550 0.677586029
77650 0.677689367
77750 0.677792704
77850 0.67799938
78050 0.678102718
78150 0.678206056
78250 0.678309393
78350 0.678619407
78450 0.678722745
78550 0.67892942
78650 0.679446109
78750 0.679652785
78850 0.679962798
78950 0.680272812
79150 0.68037615
79250 0.680789501
79350 0.680996177
79450 0.681512866
79550 0.681719541
80050 0.681822879
80150 0.682132892
80350 0.68223623
80450 0.682339568
80550 0.682442906
80650 0.682649581
80750 0.682959595
80850 0.683062933
80950 0.683166271
81150 0.683269608
81450 0.683476284
81650 0.683786297
81850 0.684199649
81950 0.684406324
82050 0.684509662
82150 0.684613
82250 0.684819676
82350 0.685233027
82550 0.685336365
82750 0.68554304
82850 0.685853054
83050 0.685956391
83150 0.686163067
83250 0.686266405
83350 0.686473081
83450 0.686576418
83550 0.686679756
83650 0.686886432
83750 0.687093107
83950 0.687299783
84050 0.687506459
84150 0.687713134
84250 0.687816472
84350 0.688023148
84450 0.688229823
84550 0.688539837
84650 0.688953188
84750 0.689263201
84850 0.689469877
85050 0.689676553
85150 0.689883228
85250 0.690399917
85350 0.690709931
85450 0.690813269
85550 0.691123282
85750 0.691329958
85850 0.691433295
85950 0.691743309
86050 0.692363336
86150 0.692466674
86250 0.692570011
86350 0.692880025
86450 0.693293376
86550 0.693396714
86650 0.693603389
86850 0.693706727
86950 0.693810065
87050 0.693913403
87150 0.694016741
87250 0.694120079
87350 0.694223416
87650 0.694326754
87750 0.694636768
87850 0.694843443
87950 0.694946781
88050 0.695050119
88150 0.695360132
88250 0.69546347
88350 0.695566808
88450 0.695773484
88550 0.695980159
88650 0.696083497
88750 0.696496848
88850 0.696600186
88950 0.697013537
89050 0.697116875
89150 0.697426888
89250 0.697530226
89350 0.697633564
89450 0.697736902
89650 0.698046915
89950 0.698150253
90050 0.698356929
90250 0.698460267
90450 0.698666942
90650 0.69877028
90750 0.698873618
90950 0.699286969
91050 0.699493645
91150 0.699803658
91250 0.700217009
91350 0.700423685
91450 0.700527023
91550 0.700940374
91750 0.70114705
91850 0.701353725
91950 0.701457063
92250 0.701767077
92350 0.701870414
92450 0.701973752
92650 0.70207709
92750 0.702180428
92850 0.702387103
92950 0.702490441
93150 0.702800455
93250 0.703213806
93650 0.703523819
93750 0.703627157
93850 0.703730495
93950 0.703937171
94050 0.70445386
94150 0.704557197
94250 0.704660535
94350 0.705280562
94450 0.7053839
94550 0.705487238
94650 0.705590576
94750 0.705693913
94850 0.706003927
95050 0.706210602
95250 0.70631394
95550 0.706623954
95850 0.706727292
96050 0.707037305
96250 0.707140643
96450 0.707243981
96550 0.707347318
96750 0.707450656
96850 0.707553994
97050 0.707657332
97250 0.707967345
97350 0.708380696
97450 0.708484034
97650 0.708794048
97750 0.708897386
97850 0.709104061
98050 0.709414075
98150 0.709517412
98250 0.709930764
98450 0.710034101
98550 0.710137439
98650 0.710344115
98750 0.710757466
98850 0.710964142
98950 0.71106748
99050 0.711480831
99250 0.711687506
99350 0.711894182
99450 0.712100858
99550 0.712204196
99650 0.712720885
99750 0.712824222
99850 0.71292756
99950 0.713030898
100050 0.713237574
100150 0.713340911
100250 0.713444249
100450 0.713547587
100550 0.713650925
100650 0.713754263
100750 0.713960938
100850 0.714167614
100950 0.714270952
101050 0.71437429
101150 0.714477627
101250 0.714580965
101350 0.714890979
101450 0.715097654
101550 0.715407668
101650 0.715717681
101850 0.716027695
101950 0.716441046
102050 0.716544384
102250 0.716854397
