CopyNumber	CumulativeDistributionFunction
   2.5151046e+04   4.1169451e-01
   2.5301202e+04   4.1328560e-01
   2.5451357e+04   4.1368337e-01
   2.5601513e+04   4.1428003e-01
   2.5751668e+04   4.1487669e-01
   2.5901824e+04   4.1567224e-01
   2.6051979e+04   4.1626889e-01
   2.6202135e+04   4.1686555e-01
   2.6352290e+04   4.1746221e-01
   2.6502446e+04   4.1825776e-01
   2.6652601e+04   4.1925219e-01
   2.6802757e+04   4.1964996e-01
   2.6952912e+04   4.2143994e-01
   2.7103068e+04   4.2203660e-01
   2.7253223e+04   4.2342880e-01
   2.7403379e+04   4.2382657e-01
   2.7553534e+04   4.2442323e-01
   2.7703690e+04   4.2521877e-01
   2.7853845e+04   4.2680986e-01
   2.8004001e+04   4.2840095e-01
   2.8154156e+04   4.2919650e-01
   2.8304312e+04   4.3058870e-01
   2.8454467e+04   4.3138425e-01
   2.8604623e+04   4.3158313e-01
   2.8754778e+04   4.3217979e-01
   2.8904934e+04   4.3357200e-01
   2.9055089e+04   4.3476531e-01
   2.9205245e+04   4.3615752e-01
   2.9355400e+04   4.3675418e-01
   2.9505556e+04   4.3715195e-01
   2.9655711e+04   4.3774861e-01
   2.9805867e+04   4.3933970e-01
   2.9956022e+04   4.4013524e-01
   3.0106178e+04   4.4053302e-01
   3.0256333e+04   4.4132856e-01
   3.0406489e+04   4.4172633e-01
   3.0556644e+04   4.4192522e-01
   3.0706800e+04   4.4311854e-01
   3.0856955e+04   4.4391408e-01
   3.1007111e+04   4.4510740e-01
   3.1157266e+04   4.4649960e-01
   3.1307422e+04   4.4689737e-01
   3.1457577e+04   4.4789181e-01
   3.1607733e+04   4.4848846e-01
   3.1757888e+04   4.4908512e-01
   3.1908044e+04   4.5027844e-01
   3.2058199e+04   4.5107399e-01
   3.2208355e+04   4.5167064e-01
   3.2358510e+04   4.5226730e-01
   3.2508666e+04   4.5286396e-01
   3.2658821e+04   4.5346062e-01
   3.2808977e+04   4.5445505e-01
   3.2959132e+04   4.5525060e-01
   3.3109288e+04   4.5544948e-01
   3.3259443e+04   4.5684169e-01
   3.3409599e+04   4.5803500e-01
   3.3559754e+04   4.5863166e-01
   3.3709910e+04   4.5883055e-01
   3.3860065e+04   4.6062053e-01
   3.4010221e+04   4.6141607e-01
   3.4160376e+04   4.6221161e-01
   3.4310532e+04   4.6360382e-01
   3.4460687e+04   4.6420048e-01
   3.4610843e+04   4.6479714e-01
   3.4760998e+04   4.6599045e-01
   3.4911154e+04   4.6678600e-01
   3.5061309e+04   4.6758154e-01
   3.5211465e+04   4.6817820e-01
   3.5361620e+04   4.6917263e-01
   3.5511776e+04   4.6937152e-01
   3.5661931e+04   4.6957041e-01
   3.5812087e+04   4.7016706e-01
   3.5962242e+04   4.7036595e-01
   3.6112398e+04   4.7195704e-01
   3.6262553e+04   4.7235481e-01
   3.6412709e+04   4.7315036e-01
   3.6562864e+04   4.7374702e-01
   3.6713020e+04   4.7434368e-01
   3.6863175e+04   4.7494033e-01
   3.7013331e+04   4.7553699e-01
   3.7163486e+04   4.7653142e-01
   3.7313642e+04   4.7673031e-01
   3.7463797e+04   4.7732697e-01
   3.7613953e+04   4.7812251e-01
   3.7764108e+04   4.7871917e-01
   3.7914264e+04   4.7931583e-01
   3.8064419e+04   4.8050915e-01
   3.8214575e+04   4.8130469e-01
   3.8364730e+04   4.8210024e-01
   3.8514886e+04   4.8249801e-01
   3.8665041e+04   4.8289578e-01
   3.8815197e+04   4.8329356e-01
