CopyNumber	CumulativeDistributionFunction
   2.2403125e+04   5.1028211e-01
   2.2536875e+04   5.1110881e-01
   2.2670625e+04   5.1183218e-01
   2.2804375e+04   5.1265888e-01
   2.2938125e+04   5.1389894e-01
   2.3071875e+04   5.1441562e-01
   2.3205625e+04   5.1513899e-01
   2.3339375e+04   5.1617237e-01
   2.3473125e+04   5.1720575e-01
   2.3606875e+04   5.1761910e-01
   2.3740625e+04   5.1844580e-01
   2.3874375e+04   5.1916916e-01
   2.4008125e+04   5.1947918e-01
   2.4141875e+04   5.1999587e-01
   2.4275625e+04   5.2113258e-01
   2.4409375e+04   5.2195928e-01
   2.4543125e+04   5.2247597e-01
   2.4676875e+04   5.2350935e-01
   2.4810625e+04   5.2433605e-01
   2.4944375e+04   5.2495608e-01
   2.5078125e+04   5.2516276e-01
   2.5211875e+04   5.2588612e-01
   2.5345625e+04   5.2640281e-01
   2.5479375e+04   5.2712618e-01
   2.5613125e+04   5.2764286e-01
   2.5746875e+04   5.2805622e-01
   2.5880625e+04   5.2867624e-01
   2.6014375e+04   5.2919293e-01
   2.6148125e+04   5.3012297e-01
   2.6281875e+04   5.3125969e-01
   2.6415625e+04   5.3187971e-01
   2.6549375e+04   5.3249974e-01
   2.6683125e+04   5.3280976e-01
   2.6816875e+04   5.3373980e-01
   2.6950625e+04   5.3425648e-01
   2.7084375e+04   5.3477317e-01
   2.7218125e+04   5.3549654e-01
   2.7351875e+04   5.3642658e-01
   2.7485625e+04   5.3704661e-01
   2.7619375e+04   5.3797665e-01
   2.7753125e+04   5.3901002e-01
   2.7886875e+04   5.3921670e-01
   2.8020625e+04   5.4014674e-01
   2.8154375e+04   5.4118012e-01
   2.8288125e+04   5.4149013e-01
   2.8421875e+04   5.4190348e-01
   2.8555625e+04   5.4211016e-01
   2.8689375e+04   5.4273018e-01
   2.8823125e+04   5.4335021e-01
   2.8956875e+04   5.4407358e-01
   2.9090625e+04   5.4459027e-01
   2.9224375e+04   5.4521029e-01
   2.9358125e+04   5.4603699e-01
   2.9491875e+04   5.4686370e-01
   2.9625625e+04   5.4717371e-01
   2.9759375e+04   5.4748372e-01
   2.9893125e+04   5.4779374e-01
   3.0026875e+04   5.4862044e-01
   3.0160625e+04   5.4965382e-01
   3.0294375e+04   5.5006717e-01
   3.0428125e+04   5.5079053e-01
   3.0561875e+04   5.5161724e-01
   3.0695625e+04   5.5234060e-01
   3.0829375e+04   5.5275395e-01
