CopyNumber	CumulativeDistributionFunction
   1.7922986e+04   4.5295168e-01
   1.8029989e+04   4.5408798e-01
   1.8136992e+04   4.5452086e-01
   1.8243994e+04   4.5522428e-01
   1.8350997e+04   4.5630648e-01
   1.8458000e+04   4.5733456e-01
   1.8565003e+04   4.5836264e-01
   1.8672006e+04   4.5890374e-01
   1.8779009e+04   4.5976949e-01
   1.8886012e+04   4.6041881e-01
   1.8993015e+04   4.6101401e-01
   1.9100018e+04   4.6209621e-01
   1.9207021e+04   4.6307018e-01
   1.9314023e+04   4.6399004e-01
   1.9421026e+04   4.6474758e-01
   1.9528029e+04   4.6534278e-01
   1.9635032e+04   4.6610032e-01
   1.9742035e+04   4.6702018e-01
   1.9849038e+04   4.6799416e-01
   1.9956041e+04   4.6913046e-01
   2.0063044e+04   4.6983388e-01
   2.0170047e+04   4.7080786e-01
   2.0277050e+04   4.7145717e-01
   2.0384052e+04   4.7248526e-01
   2.0491055e+04   4.7335101e-01
   2.0598058e+04   4.7410854e-01
   2.0705061e+04   4.7470375e-01
   2.0812064e+04   4.7546128e-01
   2.0919067e+04   4.7621882e-01
   2.1026070e+04   4.7713868e-01
   2.1133073e+04   4.7789622e-01
   2.1240076e+04   4.7903252e-01
   2.1347079e+04   4.7973595e-01
   2.1454081e+04   4.8065581e-01
   2.1561084e+04   4.8152156e-01
   2.1668087e+04   4.8238732e-01
   2.1775090e+04   4.8298252e-01
   2.1882093e+04   4.8363184e-01
   2.1989096e+04   4.8438937e-01
   2.2096099e+04   4.8525513e-01
   2.2203102e+04   4.8595855e-01
   2.2310105e+04   4.8666198e-01
   2.2417108e+04   4.8714896e-01
   2.2524110e+04   4.8790650e-01
   2.2631113e+04   4.8850170e-01
   2.2738116e+04   4.8936746e-01
   2.2845119e+04   4.8996266e-01
   2.2952122e+04   4.9066609e-01
   2.3059125e+04   4.9109897e-01
   2.3166128e+04   4.9164006e-01
   2.3273131e+04   4.9207294e-01
   2.3380134e+04   4.9299280e-01
   2.3487137e+04   4.9364212e-01
   2.3594139e+04   4.9407500e-01
   2.3701142e+04   4.9477842e-01
   2.3808145e+04   4.9548185e-01
   2.3915148e+04   4.9618527e-01
   2.4022151e+04   4.9661815e-01
   2.4129154e+04   4.9715924e-01
   2.4236157e+04   4.9786267e-01
   2.4343160e+04   4.9840377e-01
   2.4450163e+04   4.9889075e-01
   2.4557166e+04   4.9981062e-01
   2.4664168e+04   5.0045993e-01
   2.4771171e+04   5.0110925e-01
   2.4878174e+04   5.0197500e-01
   2.4985177e+04   5.0224555e-01
   2.5092180e+04   5.0257021e-01
   2.5199183e+04   5.0321952e-01
   2.5306186e+04   5.0408528e-01
   2.5413189e+04   5.0446404e-01
   2.5520192e+04   5.0522158e-01
   2.5627195e+04   5.0576268e-01
   2.5734197e+04   5.0635788e-01
   2.5841200e+04   5.0689898e-01
   2.5948203e+04   5.0744007e-01
   2.6055206e+04   5.0803528e-01
   2.6162209e+04   5.0873870e-01
   2.6269212e+04   5.0933391e-01
   2.6376215e+04   5.0987501e-01
