CopyNumber	CumulativeDistributionFunction
   2.3897309e+04   4.7092231e-01
   2.4039979e+04   4.7171740e-01
   2.4182650e+04   4.7239891e-01
   2.4325320e+04   4.7308042e-01
   2.4467991e+04   4.7398910e-01
   2.4610661e+04   4.7523853e-01
   2.4753332e+04   4.7592004e-01
   2.4896002e+04   4.7728305e-01
   2.5038673e+04   4.7773739e-01
   2.5181343e+04   4.7864607e-01
   2.5324014e+04   4.7966833e-01
   2.5466684e+04   4.8034984e-01
   2.5609355e+04   4.8171286e-01
   2.5752025e+04   4.8250795e-01
   2.5894696e+04   4.8364380e-01
   2.6037366e+04   4.8477965e-01
   2.6180037e+04   4.8523398e-01
   2.6322707e+04   4.8580191e-01
   2.6465378e+04   4.8636983e-01
   2.6608048e+04   4.8739209e-01
   2.6750719e+04   4.8818719e-01
   2.6893389e+04   4.8864153e-01
   2.7036060e+04   4.8943662e-01
   2.7178730e+04   4.9034530e-01
   2.7321401e+04   4.9136756e-01
   2.7464071e+04   4.9216265e-01
   2.7606742e+04   4.9375284e-01
   2.7749412e+04   4.9443435e-01
   2.7892083e+04   4.9545661e-01
   2.8034753e+04   4.9579736e-01
   2.8177424e+04   4.9670604e-01
   2.8320094e+04   4.9704680e-01
   2.8462765e+04   4.9750114e-01
   2.8605435e+04   4.9840981e-01
   2.8748106e+04   4.9931849e-01
   2.8890776e+04   5.0011358e-01
   2.9033447e+04   5.0113585e-01
   2.9176117e+04   5.0181736e-01
   2.9318788e+04   5.0283962e-01
   2.9461458e+04   5.0397547e-01
   2.9604129e+04   5.0488414e-01
   2.9746799e+04   5.0556565e-01
   2.9889470e+04   5.0636075e-01
   3.0032140e+04   5.0783735e-01
   3.0174811e+04   5.0829169e-01
   3.0317481e+04   5.0942753e-01
   3.0460152e+04   5.1022263e-01
   3.0602822e+04   5.1101772e-01
   3.0745493e+04   5.1181281e-01
   3.0888163e+04   5.1260791e-01
   3.1030834e+04   5.1328941e-01
   3.1173504e+04   5.1363017e-01
   3.1316175e+04   5.1419809e-01
   3.1458845e+04   5.1499318e-01
   3.1601516e+04   5.1601545e-01
   3.1744186e+04   5.1646979e-01
   3.1886857e+04   5.1669696e-01
   3.2029527e+04   5.1760563e-01
   3.2172198e+04   5.1794639e-01
   3.2314868e+04   5.1885507e-01
   3.2457539e+04   5.1965016e-01
   3.2600209e+04   5.2010450e-01
   3.2742880e+04   5.2067242e-01
   3.2885550e+04   5.2101318e-01
   3.3028221e+04   5.2146751e-01
   3.3170891e+04   5.2180827e-01
   3.3313562e+04   5.2214902e-01
   3.3456232e+04   5.2317129e-01
   3.3598903e+04   5.2339846e-01
   3.3741573e+04   5.2396638e-01
   3.3884244e+04   5.2453430e-01
   3.4026914e+04   5.2567015e-01
   3.4169585e+04   5.2623807e-01
   3.4312255e+04   5.2691958e-01
   3.4454926e+04   5.2760109e-01
   3.4597596e+04   5.2816901e-01
   3.4740267e+04   5.2839618e-01
   3.4882937e+04   5.2873694e-01
   3.5025608e+04   5.2953203e-01
   3.5168278e+04   5.3044071e-01
   3.5310949e+04   5.3112222e-01
   3.5453619e+04   5.3225806e-01
   3.5596290e+04   5.3259882e-01
   3.5738960e+04   5.3350750e-01
   3.5881631e+04   5.3396184e-01
   3.6024301e+04   5.3475693e-01
   3.6166972e+04   5.3521127e-01
   3.6309642e+04   5.3589278e-01
   3.6452313e+04   5.3691504e-01
   3.6594983e+04   5.3748296e-01
   3.6737654e+04   5.3805089e-01
   3.6880324e+04   5.3827806e-01
   3.7022995e+04   5.3895956e-01
   3.7165665e+04   5.3964107e-01
   3.7308336e+04   5.3986824e-01
   3.7451006e+04   5.4020900e-01
   3.7593677e+04   5.4077692e-01
   3.7736347e+04   5.4134484e-01
   3.7879018e+04   5.4213994e-01
   3.8021688e+04   5.4282144e-01
   3.8164359e+04   5.4338937e-01
   3.8307029e+04   5.4407088e-01
   3.8449700e+04   5.4475239e-01
   3.8592370e+04   5.4543389e-01
   3.8735041e+04   5.4566106e-01
   3.8877711e+04   5.4668333e-01
   3.9020382e+04   5.4702408e-01
   3.9163052e+04   5.4736483e-01
   3.9305723e+04   5.4781917e-01
   3.9448393e+04   5.4838710e-01
   3.9591064e+04   5.4884144e-01
   3.9733734e+04   5.4929577e-01
   3.9876405e+04   5.4975011e-01
   4.0019075e+04   5.5020445e-01
   4.0161746e+04   5.5099955e-01
   4.0304416e+04   5.5122672e-01
   4.0447087e+04   5.5190822e-01
   4.0589757e+04   5.5224898e-01
   4.0732428e+04   5.5304407e-01
   4.0875098e+04   5.5361199e-01
   4.1017769e+04   5.5406633e-01
